,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,203.15,204.61,196.0,196.27,196.27,4332607,0.0
1,2022-04-08,208.58,209.76,201.86,203.65,203.65,4480122,0.0
2,2022-04-01,214.35,220.3,206.87,210.15,210.15,5193388,1.22
3,2022-03-25,212.5,213.94,209.32,211.75,210.5533,4083340,0.0
4,2022-03-18,205.56,213.615,205.01,212.33,211.1301,5247986,0.0
5,2022-03-11,211.77,211.88,202.795,203.86,202.7079,5616622,0.0
6,2022-03-04,215.66,217.9001,209.55,212.13,210.9312,6951642,0.0
7,2022-02-25,216.35,219.13,209.301,218.43,217.1956,5711732,0.0
8,2022-02-18,218.86,222.76,215.02,215.81,214.5904,4880262,0.0
9,2022-02-11,229.07,230.2199,216.78,217.72,216.4896,6087405,0.0
10,2022-02-04,230.25,247.0,228.88,228.92,227.6263,7506114,0.0
11,2022-01-28,235.0,238.36,225.2,231.75,230.4403,5847670,0.0
12,2022-01-21,241.84,246.59,236.54,237.45,236.1081,4974376,0.0
13,2022-01-14,245.45,248.16,240.25,243.84,242.462,4074777,0.0
14,2022-01-07,247.3,249.8121,240.385,246.13,244.739,4186498,0.0
15,2021-12-31,241.93,248.11,240.54,246.8,245.4053,3413080,1.22
16,2021-12-23,236.22,241.46,232.355,240.5,237.9579,3234253,0.0
17,2021-12-17,243.56,246.62,237.68,238.18,235.6624,6039822,0.0
18,2021-12-10,238.23,243.76,236.46,242.77,240.2039,4418619,0.0
19,2021-12-03,236.65,238.94,230.77,235.92,233.4263,6720873,0.0
20,2021-11-26,242.42,244.45,234.16,234.75,232.2687,3553790,0.0
21,2021-11-19,238.99,243.74,238.18,241.94,239.3827,4487142,0.0
22,2021-11-12,235.64,238.75,231.78,238.59,236.0681,3601004,0.0
23,2021-11-05,228.21,235.54,225.42,234.07,231.5959,4975914,0.0
24,2021-10-29,224.08,229.1,218.71,227.87,225.4614,4881406,0.0
25,2021-10-22,221.9,226.55,220.83,224.57,222.1963,2959714,0.0
26,2021-10-15,216.2,224.5248,212.75,223.47,221.1079,4656841,0.0
27,2021-10-08,207.0,217.39,205.18,216.4,214.1126,5810302,0.0
28,2021-10-01,215.5,218.25,204.01,206.87,204.6834,5449443,1.22
29,2021-09-24,213.13,218.78,212.24,215.94,212.4422,4801098,0.0
30,2021-09-17,220.42,220.995,214.555,215.89,212.393,5579922,0.0
31,2021-09-10,226.6,227.14,218.64,218.78,215.2362,4240504,0.0
32,2021-09-03,231.51,233.87,228.35,228.53,224.8283,3741925,0.0
33,2021-08-27,231.57,232.67,228.4466,230.64,226.9041,3641711,0.0
34,2021-08-20,232.93,235.57,228.2201,230.57,226.8352,3102863,0.0
35,2021-08-13,227.0,234.7,226.03,233.01,229.2357,3634259,0.0
36,2021-08-06,227.24,230.9,225.33,227.73,224.0412,3795452,0.0
37,2021-07-30,226.58,228.62,221.5,226.67,222.9984,5473315,0.0
38,2021-07-23,226.11,231.015,222.465,226.39,222.7229,3443265,0.0
39,2021-07-16,226.23,231.23,226.11,228.39,224.6905,3570468,0.0
40,2021-07-09,224.83,228.2,220.67,227.38,223.6969,3010084,0.0
41,2021-07-02,222.68,226.22,221.31,225.6,221.9457,3759907,1.14
42,2021-06-25,221.66,224.61,220.88,222.93,218.2035,6373840,0.0
43,2021-06-18,232.05,233.16,219.12,219.56,214.9049,6077571,0.0
44,2021-06-11,236.49,236.49,230.79,232.75,227.8153,4015501,0.0
45,2021-06-04,234.36,236.11,231.94,235.81,230.8104,2739098,0.0
46,2021-05-28,233.26,233.7,227.35,231.76,226.8463,4693729,0.0
47,2021-05-21,237.57,238.25,228.88,231.99,227.0714,4890028,0.0
48,2021-05-14,240.0,242.065,231.77,238.5,233.4434,4793009,0.0
49,2021-05-07,232.0,239.153,229.44,238.28,233.228,4564828,0.0
50,2021-04-30,229.72,235.0,226.59,230.46,225.5738,5594808,0.0
51,2021-04-23,223.77,229.375,221.285,228.52,223.675,4645948,0.0
52,2021-04-16,222.76,224.67,219.53,224.03,219.2802,4849345,0.0
53,2021-04-09,222.56,224.68,217.49,222.63,217.9098,5799828,0.0
54,2021-04-01,226.62,228.77,219.1,221.38,216.6863,4487693,1.14
55,2021-03-26,217.94,227.77,215.98,227.61,221.66,4592728,0.0
56,2021-03-19,215.94,223.64,215.94,218.69,212.9732,11492005,0.0
57,2021-03-12,211.17,216.62,209.7,216.0,210.3535,4928643,0.0
58,2021-03-05,203.67,210.6799,203.1,210.01,204.5201,5323941,0.0
59,2021-02-26,200.13,205.64,199.31,202.18,196.8948,5035340,0.0
60,2021-02-19,202.09,203.02,196.36,201.4,196.1351,4006980,0.0
61,2021-02-12,203.0,205.53,197.42,200.98,195.7261,5614633,0.0
62,2021-02-05,196.61,202.4,193.19,202.19,196.9045,6016220,0.0
63,2021-01-29,203.03,203.69,192.89,194.21,189.1331,5625302,0.0
64,2021-01-22,206.5,207.975,201.105,203.46,198.1413,3038491,0.0
65,2021-01-15,207.1,211.3,200.3,203.19,197.8784,4838569,0.0
66,2021-01-08,209.37,211.9,201.5,208.96,203.4975,5522278,0.0
67,2020-12-31,204.36,205.3,198.82,203.88,198.5503,2374459,1.14
68,2020-12-24,200.36,204.59,198.27,202.44,196.0425,2675837,0.0
69,2020-12-18,205.4,206.9,199.51,203.88,197.437,6095942,0.0
70,2020-12-11,204.6,208.58,201.0,203.56,197.1271,5735658,0.0
71,2020-12-04,211.0,214.095,202.83,205.13,198.6475,9631476,0.0
72,2020-11-27,205.09,213.63,204.6,212.23,205.5231,4078263,0.0
73,2020-11-20,214.05,214.74,202.09,203.84,197.3983,5677669,0.0
74,2020-11-13,222.09,224.69,208.065,211.47,204.7871,5495400,0.0
75,2020-11-06,199.31,210.65,197.96,209.42,202.8019,4703293,0.0
76,2020-10-30,203.76,204.94,192.29,195.88,189.6898,5486305,0.0
77,2020-10-23,206.58,208.08,201.57,206.7,200.1679,4856873,0.0
78,2020-10-16,206.4,207.75,200.16,206.64,200.1098,3733561,0.0
79,2020-10-09,194.16,206.72,193.57,205.71,199.2092,4588615,0.0
80,2020-10-02,194.82,198.7466,188.14,191.85,185.7872,5429643,1.14
81,2020-09-25,196.29,197.183,189.4,192.63,185.4498,4822893,0.0
82,2020-09-18,197.16,203.18,196.01,199.11,191.6882,6022583,0.0
83,2020-09-11,192.83,196.9,189.515,195.46,188.1743,4078559,0.0
84,2020-09-04,199.67,202.68,192.065,193.9,186.6724,4857817,0.0
85,2020-08-28,195.67,200.81,195.27,200.66,193.1805,3115448,0.0
86,2020-08-21,196.74,198.075,192.77,195.14,187.8662,3872507,0.0
87,2020-08-14,190.89,199.9,190.57,196.13,188.8193,4735729,0.0
88,2020-08-07,185.84,190.71,184.2686,190.55,183.4473,4019772,0.0
89,2020-07-31,184.58,188.11,182.54,184.99,178.0946,4345703,0.0
90,2020-07-24,180.92,185.215,177.62,184.79,177.902,4169417,0.0
91,2020-07-17,174.75,183.21,174.25,182.08,175.293,6270907,0.0
92,2020-07-10,177.23,178.37,172.29,174.06,167.572,5229381,0.0
93,2020-07-02,169.29,177.73,168.49,174.6,168.0918,4012474,1.07
94,2020-06-26,169.85,174.58,166.42,167.82,160.5564,8409666,0.0
95,2020-06-19,161.16,174.37,160.34,170.88,163.4839,10991307,0.0
96,2020-06-12,182.0,184.42,160.62,164.94,157.801,5924733,0.0
97,2020-06-05,172.94,184.72,170.99,182.87,174.955,5643784,0.0
98,2020-05-29,168.51,178.71,168.05,172.46,164.9956,5777178,0.0
99,2020-05-22,162.49,166.49,161.26,163.75,156.6625,5361832,0.0
100,2020-05-15,159.27,163.57,148.66,155.68,148.9418,7641235,0.0
101,2020-05-08,158.0,162.6,152.27,161.01,154.0411,7429611,0.0
102,2020-05-01,159.32,170.9,158.05,159.45,152.5487,7936483,0.0
103,2020-04-24,155.62,160.79,149.43,158.23,151.3815,6539641,0.0
104,2020-04-17,158.08,160.14,148.27,158.58,151.7163,7621654,0.0
105,2020-04-09,147.77,164.25,145.95,159.28,152.386,7246263,0.0
106,2020-04-03,141.81,145.43,133.23,140.41,134.3327,10191724,1.07
107,2020-03-27,122.12,151.78,115.94,143.3,136.0748,13043203,0.0
108,2020-03-20,139.27,165.3,123.89,125.78,119.4382,15844550,0.0
109,2020-03-13,151.66,165.08,139.49,156.45,148.5618,14158893,0.0
110,2020-03-06,168.92,177.56,160.88,164.11,155.8356,10856376,0.0
111,2020-02-28,183.79,185.22,162.39,167.78,159.3205,10073941,0.0
112,2020-02-21,187.5,190.85,185.27,189.58,180.0214,3933575,0.0
113,2020-02-14,183.06,190.05,182.19,187.86,178.3881,4338874,0.0
114,2020-02-07,175.58,186.49,174.58,183.54,174.2859,6730511,0.0
115,2020-01-31,173.02,179.47,170.38,174.98,166.1575,8310974,0.0
116,2020-01-24,179.22,180.0,175.05,176.3,167.411,4852275,0.0
117,2020-01-17,178.59,180.72,177.02,180.43,171.3327,6291741,0.0
118,2020-01-10,178.04,180.66,176.19,178.24,169.2532,6321081,0.0
119,2020-01-03,180.26,181.7,177.51,179.11,170.0793,4207059,1.07
120,2019-12-27,180.41,182.34,179.7,181.13,170.9806,2167706,0.0
121,2019-12-20,178.42,180.49,177.11,180.31,170.2065,7179630,0.0
122,2019-12-13,173.89,180.42,173.39,177.27,167.3368,4485889,0.0
123,2019-12-06,174.67,175.55,169.08,174.19,164.4294,5806268,0.0
124,2019-11-29,174.45,175.63,173.52,174.33,164.5616,3274719,0.0
125,2019-11-22,174.0,176.65,171.09,173.56,163.8347,4913073,0.0
126,2019-11-15,175.48,176.89,172.23,175.16,165.3451,4488895,0.0
127,2019-11-08,173.68,179.29,173.38,176.41,166.525,6218462,0.0
128,2019-11-01,173.56,173.75,165.89,172.79,163.1079,8056716,0.0
129,2019-10-25,159.15,172.34,158.06,171.81,162.1828,7928458,0.0
130,2019-10-18,153.5,158.83,153.16,158.31,149.4392,4665817,0.0
131,2019-10-11,151.09,158.04,146.05,154.53,145.8711,4952242,0.0
132,2019-10-04,155.64,158.11,146.33,151.5,143.0108,4712868,0.0
133,2019-09-27,149.17,156.37,149.0,154.94,146.2581,5334125,1.07
134,2019-09-20,158.23,158.8,153.9,155.06,145.3675,6013502,0.0
135,2019-09-13,153.06,161.71,151.99,159.77,149.7831,6854694,0.0
136,2019-09-06,148.02,152.72,144.5,152.49,142.9581,4560787,0.0
137,2019-08-30,147.9,150.63,143.12,149.86,140.4925,6746367,0.0
138,2019-08-23,152.31,154.71,145.33,146.36,137.2113,5060208,0.0
139,2019-08-16,148.72,153.41,145.23,150.22,140.83,5626309,0.0
140,2019-08-09,149.09,151.44,145.35,149.53,140.1831,6882300,0.0
141,2019-08-02,155.81,156.81,149.55,151.67,142.1894,7903588,0.0
142,2019-07-26,151.67,160.78,151.49,155.63,145.9018,9219730,0.0
143,2019-07-19,151.58,154.14,148.77,151.28,141.8237,6013868,0.0
144,2019-07-12,147.39,151.7,143.81,151.48,142.0112,6236932,0.0
145,2019-07-05,152.77,152.77,145.42,147.98,138.73,3693418,0.0
146,2019-06-28,152.23,153.4,148.1,150.81,141.3831,5944043,1.0
147,2019-06-21,149.61,152.89,147.21,151.93,141.4841,5282082,0.0
148,2019-06-14,152.45,154.98,147.26,149.05,138.8021,5473588,0.0
149,2019-06-07,139.97,151.59,139.4,151.14,140.7484,6749861,0.0
150,2019-05-31,146.7,146.7,136.92,139.64,130.0391,8529642,0.0
151,2019-05-24,149.67,151.75,145.46,145.72,135.701,5804092,0.0
152,2019-05-17,148.96,153.66,146.62,150.6,140.2455,7405684,0.0
153,2019-05-10,154.14,157.32,148.17,152.76,142.257,5947012,0.0
154,2019-05-03,154.28,157.61,152.21,157.41,146.5873,5898716,0.0
155,2019-04-26,158.06,158.24,147.45,153.59,143.0299,8123857,0.0
156,2019-04-18,156.66,158.69,154.84,158.33,147.444,3868828,0.0
157,2019-04-12,151.63,156.53,150.22,156.4,145.6467,4713212,0.0
158,2019-04-05,144.51,152.94,144.51,152.2,141.7355,5271372,0.0
159,2019-03-29,141.6,144.39,141.22,143.53,133.6616,4731258,1.0
160,2019-03-22,143.57,146.96,141.5,141.65,130.9939,7529172,0.0
161,2019-03-15,140.51,146.26,140.41,143.18,132.4088,10141767,0.0
162,2019-03-08,145.47,145.96,139.11,140.65,130.0691,6901804,0.0
163,2019-03-01,145.41,146.32,142.75,144.41,133.5462,5970038,0.0
164,2019-02-22,143.39,144.97,142.2,144.83,133.9346,4493366,0.0
165,2019-02-15,136.44,144.32,135.65,144.21,133.3613,6353034,0.0
166,2019-02-08,135.33,138.44,133.16,135.72,125.51,9317579,0.0
167,2019-02-01,131.66,137.73,129.72,134.43,124.317,10516344,0.0
168,2019-01-25,134.98,135.67,130.06,133.25,123.2258,5046915,0.0
169,2019-01-18,129.31,137.5,128.71,136.67,126.3885,6471946,0.0
170,2019-01-11,127.11,131.46,125.82,130.31,120.507,7642967,0.0
171,2019-01-04,125.26,127.55,122.58,127.18,117.6124,6705522,0.0
172,2018-12-28,123.33,126.88,117.75,124.72,115.3375,4543737,1.0
173,2018-12-21,129.72,130.63,122.99,124.04,113.7962,11807228,0.0
174,2018-12-14,129.5,135.05,127.43,131.04,120.2181,9404246,0.0
175,2018-12-07,140.79,141.83,128.51,129.47,118.7778,8886240,0.0
176,2018-11-30,135.01,139.19,133.25,139.05,127.5666,6600952,0.0
177,2018-11-23,135.48,136.56,132.0,134.21,123.1263,4924881,0.0
178,2018-11-16,132.43,136.25,130.3,135.6,124.4016,9985083,0.0
179,2018-11-09,131.12,134.8,129.57,132.56,121.6126,5757872,0.0
180,2018-11-02,126.1,133.19,123.96,130.71,119.9154,13056165,0.0
181,2018-10-26,127.56,128.15,119.38,124.1,113.8513,15589563,0.0
182,2018-10-19,130.37,133.3,126.13,127.03,116.5393,9910897,0.0
183,2018-10-12,140.42,141.0,128.75,130.67,119.8787,10496039,0.0
184,2018-10-05,142.22,145.04,139.91,141.01,129.3648,7191263,0.0
185,2018-09-28,148.35,148.41,140.56,141.12,129.4657,5951954,1.0
186,2018-09-21,145.02,149.16,144.42,148.44,135.2287,6988190,0.0
187,2018-09-14,141.35,145.01,140.9,144.89,131.9947,7013729,0.0
188,2018-09-07,138.69,142.32,137.69,140.63,128.1138,6049593,0.0
189,2018-08-31,136.69,140.6,136.02,138.88,126.5196,6407494,0.0
190,2018-08-24,139.75,140.37,134.45,135.55,123.4859,8485999,0.0
191,2018-08-17,136.74,140.26,135.33,139.43,127.0206,7696530,0.0
192,2018-08-10,139.99,142.52,135.58,136.47,124.3241,6557263,0.0
193,2018-08-03,140.36,144.19,136.86,139.55,127.1299,7631453,0.0
194,2018-07-27,136.84,141.92,134.66,140.21,127.7312,15234771,0.0
195,2018-07-20,143.78,148.03,141.58,146.86,133.7893,8484812,0.0
196,2018-07-13,140.0,144.72,139.9,143.75,130.9561,5850718,0.0
197,2018-07-06,137.26,141.14,136.79,139.64,127.2119,4762231,0.0
198,2018-06-29,140.91,143.56,136.95,138.54,126.2098,8213228,0.78
199,2018-06-22,146.89,147.65,140.4,141.46,128.1486,8698244,0.0
200,2018-06-15,148.03,151.25,145.44,148.65,134.662,9079281,0.0
201,2018-06-08,147.48,148.5,145.0,147.76,133.8557,6577422,0.0
202,2018-06-01,145.94,147.75,142.81,146.96,133.131,6694503,0.0
203,2018-05-25,148.07,150.75,145.75,147.43,133.5568,5638013,0.0
204,2018-05-18,146.19,147.62,143.78,146.8,132.9861,8043048,0.0
205,2018-05-11,145.73,147.18,143.17,145.79,132.0711,6219970,0.0
206,2018-05-04,143.64,146.38,138.81,145.47,131.7812,10824531,0.0
207,2018-04-27,158.44,158.89,140.37,142.57,129.1541,12549242,0.0
208,2018-04-20,156.58,160.21,155.49,158.29,143.3948,5066724,0.0
209,2018-04-13,153.92,157.51,152.33,155.02,140.4326,5493402,0.0
210,2018-04-06,155.7,160.08,150.74,152.6,138.2403,8468763,0.0
211,2018-03-29,160.14,160.63,153.07,156.66,141.9182,6111595,0.78
212,2018-03-23,170.23,170.65,156.67,156.91,141.4277,7027455,0.0
213,2018-03-16,170.5,171.83,167.84,170.96,154.0914,8669637,0.0
214,2018-03-09,157.94,171.09,156.95,170.3,153.4965,8853635,0.0
215,2018-03-02,164.12,167.04,156.29,158.56,142.9149,6184006,0.0
216,2018-02-23,161.59,164.99,160.65,163.96,147.7821,4740408,0.0
217,2018-02-16,161.02,164.82,159.34,162.55,146.5112,6912634,0.0
218,2018-02-09,169.53,171.3,154.65,160.13,144.33,10356206,0.0
219,2018-02-02,178.57,179.07,169.85,170.38,153.5686,7068226,0.0
220,2018-01-26,172.42,178.9,170.93,178.88,161.23,8122969,0.0
221,2018-01-19,171.42,172.64,168.74,172.42,155.4074,4551957,0.0
222,2018-01-12,166.07,171.52,165.79,170.52,153.6948,6219411,0.0
223,2018-01-05,167.31,167.49,163.92,166.03,149.6479,5643449,0.0
