,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,67.69,68.44,67.11,67.88,67.88,6516716,0.0
1,2022-04-08,65.3,67.84,64.14,67.56,67.56,9454209,0.0
2,2022-04-01,62.9,65.67,62.285,65.61,65.61,8674162,0.0
3,2022-03-25,61.1,62.84,60.54,62.82,62.82,10207770,0.0
4,2022-03-18,60.1,61.72,59.54,60.76,60.76,14566497,0.0
5,2022-03-11,64.53,66.57,59.82,59.85,59.85,15100782,0.0
6,2022-03-04,64.24,65.19,62.56,64.95,64.95,12988783,0.58
7,2022-02-25,66.04,66.87,63.02,65.68,65.0896,12256495,0.0
8,2022-02-18,64.14,66.09,63.265,66.07,65.4761,14576665,0.0
9,2022-02-11,61.83,64.9,61.13,63.85,63.276,15569308,0.0
10,2022-02-04,64.17,64.17,61.56,61.58,61.0264,15782538,0.0
11,2022-01-28,66.76,67.5099,64.38,65.26,64.6733,11987012,0.0
12,2022-01-21,67.28,67.435,66.04,66.61,66.0112,8828298,0.0
13,2022-01-14,66.73,67.81,65.85,67.53,66.9229,10125108,0.0
14,2022-01-07,64.42,66.93,63.56,66.6,66.0013,11070637,0.0
15,2021-12-31,63.035,64.61,62.6,64.42,63.8409,4993647,0.0
16,2021-12-23,64.22,64.54,62.335,62.87,62.3048,9329596,0.0
17,2021-12-17,62.73,66.335,62.15,64.45,63.8706,14420984,0.0
18,2021-12-10,63.42,64.36,61.26,62.62,62.0571,10672364,0.0
19,2021-12-03,63.6,64.125,60.97,63.0,62.4337,14171334,0.58
20,2021-11-26,61.89,64.17,61.75,63.64,62.4756,6766458,0.0
21,2021-11-19,63.5,64.08,61.9,61.93,60.7969,7257368,0.0
22,2021-11-12,62.5,64.36,61.91,63.22,62.0633,7661408,0.0
23,2021-11-05,61.41,64.25,61.27,62.56,61.4154,11100999,0.0
24,2021-10-29,62.15,62.17,60.96,61.3,60.1784,9315058,0.0
25,2021-10-22,61.6,62.239,61.12,62.12,60.9834,9000471,0.0
26,2021-10-15,62.89,63.04,61.36,61.79,60.6595,9135380,0.0
27,2021-10-08,63.97,64.89,62.4891,62.69,61.543,11889156,0.0
28,2021-10-01,64.0,65.775,63.56,63.87,62.7014,8886327,0.0
29,2021-09-24,63.22,63.98,62.42,63.78,62.6131,8252392,0.0
30,2021-09-17,62.97,64.35,62.68,63.56,62.3971,11727927,0.0
31,2021-09-10,63.25,63.28,61.7,62.74,61.5921,9193055,0.0
32,2021-09-03,62.83,63.72,62.05,63.44,62.2793,12566986,0.58
33,2021-08-27,66.15,66.15,62.834,63.28,61.5568,9482301,0.0
34,2021-08-20,65.64,67.07,65.45,66.16,64.3583,9276470,0.0
35,2021-08-13,63.49,65.68,63.17,65.57,63.7844,7685980,0.0
36,2021-08-06,63.41,64.25,62.0,63.22,61.4984,13766841,0.0
37,2021-07-30,63.32,64.11,62.78,63.36,61.6346,10340338,0.0
38,2021-07-23,64.28,65.6,62.53,63.43,61.7027,9287917,0.0
39,2021-07-16,64.12,64.465,62.51,64.26,62.5101,8567753,0.0
40,2021-07-09,63.85,64.8133,63.2,64.28,62.5295,6388950,0.0
41,2021-07-02,63.87,64.795,63.675,64.02,62.2766,12932460,0.0
42,2021-06-25,63.75,64.37,62.7,63.93,62.1891,9118486,0.0
43,2021-06-18,65.14,65.55,63.5718,63.59,61.8583,11425858,0.0
44,2021-06-11,66.63,66.73,64.37,65.16,63.3856,10244676,0.0
45,2021-06-04,65.64,67.07,65.125,66.63,64.8155,7612489,0.0
46,2021-05-28,66.55,66.84,65.1,65.49,63.7066,11202151,0.58
47,2021-05-21,66.54,67.2,65.385,66.5,64.1212,10175671,0.0
48,2021-05-14,67.15,68.6,65.875,66.54,64.1598,13915070,0.0
49,2021-05-07,62.44,68.5,61.96,66.95,64.5551,24774931,0.0
50,2021-04-30,63.23,63.25,61.85,62.42,60.1871,14470602,0.0
51,2021-04-23,63.3,64.93,62.885,63.28,61.0164,9447329,0.0
52,2021-04-16,62.83,63.62,61.99,63.35,61.0839,12936454,0.0
53,2021-04-09,63.38,64.2627,61.97,62.66,60.4186,10920259,0.0
54,2021-04-01,64.0,65.32,62.22,63.34,61.0742,14088188,0.0
55,2021-03-26,60.64,63.8,60.46,63.71,61.431,17173240,0.0
56,2021-03-19,60.93,61.2299,59.66,60.81,58.6347,16335083,0.0
57,2021-03-12,59.3,60.74,58.11,60.64,58.4708,15054669,0.0
58,2021-03-05,57.2,59.31,56.75,59.24,57.1209,18043493,0.57
