,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,41.3,42.43,40.89,42.29,42.29,27951461,0.0
1,2022-04-08,39.81,41.99,38.9,40.94,40.94,29426921,0.0
2,2022-04-01,39.34,39.96,38.76,39.93,39.93,22937906,0.0
3,2022-03-25,37.59,39.36,37.45,39.29,39.29,25886505,0.0
4,2022-03-18,37.55,38.355,37.075,37.62,37.62,32997268,0.0
5,2022-03-11,39.49,40.87,37.15,37.36,37.36,39271647,0.4
6,2022-03-04,38.88,40.17,38.21,39.84,39.42,37241944,0.0
7,2022-02-25,38.3459,40.5765,38.06,39.73,39.3111,55616807,0.0
8,2022-02-18,34.8,39.095,34.0701,38.46,38.0545,58592049,0.0
9,2022-02-11,34.8023,35.285,34.195,34.73,34.3638,31877142,0.0
10,2022-02-04,35.71,36.65,34.7,34.75,34.3836,44516958,0.0
11,2022-01-28,36.96,37.19,35.27,36.05,35.6699,39611608,0.0
12,2022-01-21,37.97,38.08,36.9,37.0,36.6099,24682577,0.0
13,2022-01-14,37.46,38.12,36.9,38.02,37.6192,30148589,0.0
14,2022-01-07,35.85,37.42,35.6419,37.35,36.9562,31902735,0.0
15,2021-12-31,35.16,36.05,34.93,35.9,35.5215,16978740,0.0
16,2021-12-23,35.26,35.455,34.68,35.25,34.8784,23179240,0.0
17,2021-12-17,34.15,36.44,33.99,35.51,35.1356,48911811,0.0
18,2021-12-10,33.89,34.645,33.02,34.15,33.79,48065187,0.0
19,2021-12-03,34.91,35.0,32.785,33.64,33.2853,52844834,0.0
20,2021-11-26,35.3,36.06,34.54,34.83,34.4628,47244534,0.4
21,2021-11-19,37.28,37.97,34.76,35.34,34.5744,48882030,0.0
22,2021-11-12,37.95,38.045,37.0,37.22,36.4137,21377008,0.0
23,2021-11-05,35.88,38.1999,35.79,37.84,37.0203,27650963,0.0
24,2021-10-29,36.38,37.19,35.59,35.89,35.1125,34180013,0.0
25,2021-10-22,36.73,37.165,35.99,36.38,35.5919,19019389,0.0
26,2021-10-15,36.9,37.541,36.32,36.98,36.1789,21271712,0.0
27,2021-10-08,36.678,37.765,36.61,36.78,35.9832,21587877,0.0
28,2021-10-01,36.51,37.79,36.19,36.68,35.8854,27403131,0.0
29,2021-09-24,36.37,36.675,35.765,36.39,35.6017,21914039,0.0
30,2021-09-17,36.57,37.14,35.93,36.55,35.7582,31216256,0.0
31,2021-09-10,35.7,37.41,35.38,36.33,35.543,28831438,0.0
32,2021-09-03,36.29,36.43,35.54,35.83,35.0538,28142939,0.4
33,2021-08-27,36.69,36.865,35.81,36.38,35.2007,19052874,0.0
34,2021-08-20,37.8559,38.26,36.26,36.6,35.4135,22350429,0.0
35,2021-08-13,37.4,38.08,36.9401,37.87,36.6423,22161651,0.0
36,2021-08-06,38.595,39.115,36.41,37.2,35.9941,38187292,0.0
37,2021-07-30,39.22,39.72,38.375,38.47,37.2229,18724977,0.0
38,2021-07-23,39.2,39.9075,38.69,39.22,37.9486,19946281,0.0
39,2021-07-16,39.83,39.87,38.5899,39.3,38.026,25202352,0.0
40,2021-07-09,40.59,40.59,39.22,39.95,38.6549,20006808,0.0
