,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,11.37,11.68,11.33,11.47,11.47,28150644,0.0
1,2022-04-08,11.46,11.68,11.07,11.36,11.36,47914512,0.0
2,2022-04-01,11.19,11.54,10.94,11.51,11.51,45932686,0.0
3,2022-03-25,11.1,11.45,10.79,11.4,11.4,44414396,0.0
4,2022-03-18,10.81,11.15,10.54,11.09,11.09,65301844,0.0
5,2022-03-11,10.18,11.335,10.145,10.68,10.68,100353091,0.25
6,2022-03-04,9.95,10.78,9.93,10.55,10.3087,79045626,0.0
7,2022-02-25,9.85,10.27,9.31,10.09,9.8592,75507176,0.0
8,2022-02-18,10.0,10.14,9.66,9.94,9.7126,113529436,0.0
9,2022-02-11,12.59,12.8658,10.08,10.09,9.8592,162063626,0.0
10,2022-02-04,12.02,12.93,11.98,12.51,12.2239,56973990,0.0
11,2022-01-28,11.95,12.28,11.78,12.14,11.8623,60203314,0.0
12,2022-01-21,12.38,12.475,11.9,12.03,11.7548,45600713,0.0
13,2022-01-14,13.725,13.93,12.02,12.34,12.0577,84752886,0.0
14,2022-01-07,12.61,13.81,12.6,13.77,13.455,54821324,0.0
15,2021-12-31,12.78,12.93,12.535,12.55,12.2629,27048279,0.0
16,2021-12-23,12.48,12.905,12.08,12.84,12.5463,31603004,0.0
17,2021-12-17,12.02,12.69,11.77,12.59,12.302,84706289,0.0
18,2021-12-10,12.45,12.58,11.92,12.13,11.8526,51149993,0.0
19,2021-12-03,13.27,13.28,11.78,12.37,12.0871,69825834,0.0
20,2021-11-26,13.45,14.0,13.06,13.19,12.8883,36011178,0.25
21,2021-11-19,14.22,14.29,13.27,13.34,12.7924,41103498,0.0
22,2021-11-12,14.1,14.415,13.78,14.22,13.6363,46652562,0.0
23,2021-11-05,11.94,14.495,11.83,14.11,13.5308,106458430,0.0
24,2021-10-29,12.44,12.44,11.71,11.86,11.3732,45939492,0.0
25,2021-10-22,12.04,12.83,11.95,12.48,11.9677,33906271,0.0
26,2021-10-15,12.52,12.54,11.83,12.09,11.5937,38557820,0.0
27,2021-10-08,12.74,13.13,12.43,12.48,11.9677,41519717,0.0
28,2021-10-01,13.08,13.44,12.36,12.68,12.1595,56437626,0.0
29,2021-09-24,12.73,13.02,12.5,12.93,12.3992,53961592,0.0
30,2021-09-17,12.17,13.02,12.14,12.94,12.4088,65647874,0.0
31,2021-09-10,12.1,12.485,11.89,11.97,11.4786,39646747,0.0
32,2021-09-03,11.92,12.4,11.81,12.13,11.6321,68672324,0.0
33,2021-08-27,11.85,12.43,11.84,11.97,11.4786,61098956,0.25
34,2021-08-20,12.07,12.35,11.28,11.83,11.1123,58873705,0.0
35,2021-08-13,11.67,12.66,11.64,12.09,11.3565,64977282,0.0
36,2021-08-06,12.52,12.78,11.09,11.75,11.0372,75340525,0.0
37,2021-07-30,12.7,12.95,12.38,12.47,11.7135,60735933,0.0
38,2021-07-23,12.58,13.045,12.28,12.63,11.8638,36036433,0.0
39,2021-07-16,13.46,14.41,12.73,12.74,11.9671,44393561,0.0
40,2021-07-09,13.66,13.69,13.15,13.51,12.6904,28892175,0.0
41,2021-07-02,14.09,14.1,13.53,13.7,12.8689,30671324,0.0
42,2021-06-25,14.12,14.175,13.62,14.05,13.1976,39662869,0.0
43,2021-06-18,15.01,15.105,13.93,14.01,13.1601,47690437,0.0
44,2021-06-11,14.77,15.45,14.71,15.06,14.1464,39070889,0.0
45,2021-06-04,13.94,15.0,13.91,14.75,13.8552,41269228,0.0
46,2021-05-28,14.4,14.4843,13.715,13.84,13.0004,44838939,0.25
47,2021-05-21,14.45,14.81,13.99,14.3,13.1941,46332386,0.0
48,2021-05-14,14.0,14.51,13.79,14.43,13.3141,41646932,0.0
49,2021-05-07,12.81,14.0,12.65,13.99,12.9081,64673643,0.0
50,2021-04-30,13.1,13.16,12.72,12.83,11.8378,34808398,0.0
51,2021-04-23,12.79,13.14,12.541,13.04,12.0316,43606086,0.0
52,2021-04-16,12.82,13.03,12.515,12.71,11.7271,47669586,0.0
53,2021-04-09,13.2,13.77,12.715,12.82,11.8286,57236240,0.0
54,2021-04-01,13.02,13.41,12.953,13.11,12.0962,41689688,0.0
55,2021-03-26,14.0,14.63,12.85,13.16,12.1423,61865059,0.0
56,2021-03-19,14.13,14.34,13.87,13.98,12.8989,56485700,0.0
57,2021-03-12,13.48,14.44,13.48,14.03,12.945,68700917,0.0
58,2021-03-05,12.45,13.95,12.342,13.47,12.4283,93250940,0.25
