,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,121.95,128.0,121.95,122.9,122.9,1421599,0.0
1,2022-04-08,124.28,126.9221,117.56,123.0,123.0,3269861,0.0
2,2022-04-01,130.98,143.45,122.83,124.24,124.24,4151392,0.0
3,2022-03-25,143.34,143.43,130.89,131.52,131.52,3071763,0.0
4,2022-03-18,132.56,148.575,129.86,144.51,144.51,4184957,0.0
5,2022-03-11,136.53,140.235,121.04,131.11,131.11,5668628,0.0
6,2022-03-04,141.16,146.65,131.86,137.35,137.35,5941535,0.0
7,2022-02-25,146.8,147.62,132.02,144.27,144.27,3724282,0.0
8,2022-02-18,144.16,151.23,143.38,148.26,148.26,3787671,0.0
9,2022-02-11,151.43,158.99,143.25,144.17,144.17,3992596,0.0
10,2022-02-04,150.26,159.75,147.515,150.08,150.08,2726271,0.0
11,2022-01-28,152.6,160.97,146.86,151.24,151.24,2810498,0.0
12,2022-01-21,168.74,169.6,155.175,156.38,156.38,2106182,0.0
13,2022-01-14,173.14,179.4299,167.21,170.77,170.77,2369461,0.0
14,2022-01-07,183.35,192.0,176.47,176.55,176.55,2459268,0.0
15,2021-12-31,171.2,183.88,171.2,182.18,182.18,2052750,0.0
16,2021-12-23,168.18,173.285,162.6344,171.16,171.16,2508335,0.0
17,2021-12-17,178.37,179.28,169.6616,170.64,170.64,3424158,0.0
18,2021-12-10,174.94,181.61,174.315,178.38,178.38,2637304,0.0
19,2021-12-03,176.95,177.0263,165.13,172.84,172.84,3725607,0.0
20,2021-11-26,177.93,182.31,172.13,175.42,175.42,1850453,0.0
21,2021-11-19,178.04,180.6723,174.01,177.34,177.34,2888955,0.0
22,2021-11-12,178.52,179.21,172.0,177.32,177.32,3001977,0.0
23,2021-11-05,176.76,184.98,174.0,177.0,177.0,3254273,0.0
24,2021-10-29,192.3,199.37,174.17,177.21,177.21,3835462,0.0
25,2021-10-22,182.81,194.27,182.81,192.12,192.12,1880691,0.0
26,2021-10-15,178.84,189.045,178.12,184.03,184.03,2097332,0.0
27,2021-10-08,178.8,184.79,174.68,178.63,178.63,2430431,0.0
28,2021-10-01,184.84,188.7,176.15,179.23,179.23,2756848,0.0
29,2021-09-24,179.5,188.425,175.95,184.39,184.39,2111392,0.0
30,2021-09-17,190.89,194.4174,179.98,181.82,181.82,2948095,0.0
31,2021-09-10,193.16,194.62,186.22,187.62,187.62,1469969,0.0
32,2021-09-03,203.65,204.11,193.82,194.07,194.07,1825117,0.0
33,2021-08-27,202.62,207.79,198.675,203.65,203.65,1474619,0.0
34,2021-08-20,209.25,209.25,193.76,200.78,200.78,2278810,0.0
35,2021-08-13,198.99,211.745,195.55,209.16,209.16,1840744,0.0
36,2021-08-06,196.58,202.85,191.365,201.29,201.29,2338276,0.0
37,2021-07-30,192.24,202.49,186.515,194.9,194.9,2452106,0.0
38,2021-07-23,181.59,195.4321,176.5,191.84,191.84,2063827,0.0
39,2021-07-16,195.93,199.51,185.46,186.16,186.16,2184551,0.0
40,2021-07-09,196.4,200.97,189.87,198.95,198.95,2028016,0.0
41,2021-07-02,194.6,197.99,189.15,195.08,195.08,2634975,0.0
42,2021-06-25,184.25,196.99,182.605,195.72,195.72,2665710,0.0
43,2021-06-18,191.84,192.5,178.29,180.66,180.66,2776175,0.0
44,2021-06-11,202.34,204.75,190.41,193.13,193.13,2343204,0.0
45,2021-06-04,206.38,206.38,195.45,201.41,201.41,3777282,0.0
46,2021-05-28,209.1,214.325,204.58,210.68,210.68,2585790,0.0
47,2021-05-21,218.99,219.68,204.71,207.21,207.21,2470538,0.0
48,2021-05-14,230.53,231.8,208.65,219.1,219.1,2091033,0.0
49,2021-05-07,212.21,230.75,211.32,229.74,229.74,3899975,0.0
50,2021-04-30,204.17,214.485,203.27,205.5,205.5,2541009,0.0
51,2021-04-23,204.13,204.13,194.24,203.34,203.34,2341125,0.0
52,2021-04-16,205.0,206.2,198.4158,204.81,204.81,2055826,0.0
53,2021-04-09,200.13,202.97,194.13,202.93,202.93,2393840,0.0
54,2021-04-01,195.24,199.0,190.07,198.28,198.28,1708955,0.0
55,2021-03-26,184.49,196.38,180.09,195.67,195.67,3242592,0.0
56,2021-03-19,189.04,189.31,178.75,183.74,183.74,3777255,0.0
57,2021-03-12,186.52,192.57,180.78,189.04,189.04,2343649,0.0
58,2021-03-05,177.19,186.81,168.81,186.11,186.11,2662375,0.0
59,2021-02-26,169.23,183.49,167.115,174.99,174.99,3295162,0.0
60,2021-02-19,172.0,172.66,165.0,171.9,171.9,2090623,0.0
61,2021-02-12,152.69,178.19,150.935,169.28,169.28,4126901,0.0
62,2021-02-05,145.89,153.6,142.64,152.52,152.52,2008338,0.0
63,2021-01-29,147.95,151.9,141.64,143.6,143.6,1938791,0.0
64,2021-01-22,151.32,152.49,146.31,149.77,149.77,1387520,0.0
65,2021-01-15,141.66,153.3475,141.585,148.97,148.97,2553466,0.0
66,2021-01-08,140.77,145.67,134.09,143.68,143.68,2550295,0.0
