,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,25.52,26.95,24.9,26.57,26.57,58905909,0.0
1,2022-04-08,26.09,26.4,24.25,25.9,25.9,80599426,0.0
2,2022-04-01,25.26,25.96,24.1701,25.75,25.75,89514669,0.0
3,2022-03-25,23.75,26.215,23.73,26.04,26.04,113699090,0.0
4,2022-03-18,22.67,23.39,20.82,23.08,23.08,120002914,0.0
5,2022-03-11,24.0,25.7,22.38,23.17,23.17,162517578,0.0
6,2022-03-04,21.79,23.82,21.64,23.81,23.81,132272652,0.0
7,2022-02-25,23.18,23.18,20.7435,21.88,21.88,88479153,0.0
8,2022-02-18,22.1,22.56,20.13,21.87,21.87,114181812,0.07
9,2022-02-11,21.39,22.28,20.785,22.21,22.1346,99498961,0.0
10,2022-02-04,19.82,22.0,19.11,21.5,21.427,96066196,0.0
11,2022-01-28,17.52,20.58,17.015,19.84,19.7726,108554146,0.0
12,2022-01-21,19.81,20.01,17.75,18.1,18.0385,79614138,0.0
13,2022-01-14,18.085,19.5,17.445,19.47,19.4039,96458731,0.0
14,2022-01-07,16.42,18.3292,16.402,18.24,18.178,92395370,0.0
15,2021-12-31,15.92,16.775,15.655,16.42,16.3642,64525455,0.0
16,2021-12-23,14.5,16.305,14.2937,16.0,15.9457,60413592,0.0
17,2021-12-17,16.03,16.11,14.6,15.15,15.0985,94780641,0.0
18,2021-12-10,15.6,16.575,15.211,16.22,16.1649,73461346,0.0
19,2021-12-03,16.34,16.55,14.72,15.29,15.2381,101069972,0.0
20,2021-11-26,15.28,16.975,15.055,15.7,15.6467,69279529,0.0
21,2021-11-19,16.68,16.9551,15.01,15.31,15.258,79104585,0.06
22,2021-11-12,17.27,17.589,16.35,16.68,16.5639,62245285,0.0
23,2021-11-05,16.66,17.44,16.34,17.07,16.9512,105118963,0.0
24,2021-10-29,16.88,17.33,16.02,16.32,16.2064,76355894,0.0
25,2021-10-22,16.48,16.84,16.07,16.58,16.4646,85717212,0.0
26,2021-10-15,16.53,16.61,15.39,16.18,16.0674,84082752,0.0
27,2021-10-08,14.55,16.115,14.36,16.07,15.9582,128807023,0.0
28,2021-10-01,13.25,14.29,13.21,14.24,14.1409,112794731,0.0
29,2021-09-24,11.5,12.98,11.22,12.85,12.7606,94874337,0.0
30,2021-09-17,11.53,12.65,11.52,12.0,11.9165,102166653,0.0
31,2021-09-10,11.5,11.8291,11.02,11.27,11.1916,45774863,0.0
32,2021-09-03,12.07,12.19,11.1,11.63,11.5491,94220874,0.0
33,2021-08-27,11.13,12.14,11.11,12.01,11.9264,66364387,0.0
34,2021-08-20,11.84,11.89,10.41,10.72,10.6454,68668060,0.05
35,2021-08-13,11.59,12.4484,11.51,12.1,11.9637,55607983,0.0
36,2021-08-06,11.61,12.18,10.97,11.96,11.8253,100548129,0.0
37,2021-07-30,11.53,11.99,11.32,11.59,11.4595,80876988,0.0
38,2021-07-23,11.085,12.05,10.92,11.5,11.3705,78211315,0.0
39,2021-07-16,13.02,13.47,11.69,11.75,11.6177,81166454,0.0
40,2021-07-09,13.87,13.94,12.515,13.26,13.1107,59915631,0.0
41,2021-07-02,14.0,14.33,13.28,13.85,13.694,89049624,0.0
42,2021-06-25,12.77,14.1,12.77,14.07,13.9115,78627815,0.0
43,2021-06-18,13.61,13.97,12.51,12.57,12.4284,107639095,0.0
44,2021-06-11,13.89,14.09,13.2,13.46,13.3084,79084004,0.0
45,2021-06-04,12.7,14.1556,12.62,13.8,13.6446,113215191,0.0
46,2021-05-28,11.78,12.24,11.485,12.11,11.9736,75200419,0.0
47,2021-05-21,11.73,12.44,11.29,11.6,11.4694,89216651,0.04
48,2021-05-14,12.03,12.34,10.87,11.8,11.6281,99037099,0.0
49,2021-05-07,11.17,11.91,10.87,11.89,11.7168,116577926,0.0
50,2021-04-30,10.56,12.06,10.54,11.26,11.096,88889356,0.0
51,2021-04-23,10.56,10.7715,9.7,10.67,10.5146,88363649,0.0
52,2021-04-16,11.05,11.46,10.52,10.53,10.3766,89325361,0.0
53,2021-04-09,11.65,11.67,10.625,10.91,10.7511,103521076,0.0
54,2021-04-01,11.0,11.91,10.615,11.79,11.6183,108123891,0.0
55,2021-03-26,10.98,11.13,9.83,11.09,10.9285,130082931,0.0
56,2021-03-19,12.25,12.29,10.56,11.02,10.8595,134644219,0.0
57,2021-03-12,13.1,13.17,11.885,12.2,12.0223,123729829,0.0
58,2021-03-05,11.51,13.29,11.09,12.98,12.7909,162758394,0.0
59,2021-02-26,9.51,12.3,9.44,11.1,10.9383,223736937,0.0
60,2021-02-19,9.3,9.8,9.11,9.45,9.3123,88843191,0.03
61,2021-02-12,8.06,9.28,8.06,8.97,8.8117,136827170,0.0
62,2021-02-05,7.36,8.1,7.2,7.94,7.7998,96883831,0.0
63,2021-01-29,8.0,8.08,7.21,7.24,7.1122,146763261,0.0
64,2021-01-22,8.48,8.79,7.9,8.15,8.0061,111892656,0.0
65,2021-01-15,7.27,8.83,7.17,8.25,8.1044,165896174,0.0
66,2021-01-08,6.78,7.855,6.595,7.55,7.4167,186436930,0.0
67,2020-12-31,6.73,6.84,6.5,6.67,6.5523,68414292,0.0
68,2020-12-24,6.35,6.96,6.2717,6.63,6.513,90129647,0.0
69,2020-12-18,7.2,7.25,6.66,6.73,6.6112,125845487,0.0
70,2020-12-11,6.81,7.46,6.59,7.06,6.9354,185503174,0.0
71,2020-12-04,6.28,6.85,5.7601,6.85,6.7291,171197987,0.0
72,2020-11-27,5.72,6.63,5.71,6.35,6.2379,126479111,0.0
73,2020-11-20,5.32,5.86,5.21,5.6,5.5011,159558020,0.03
74,2020-11-13,4.67,5.22,4.67,5.06,4.9437,179631841,0.0
75,2020-11-06,3.98,4.51,3.86,4.13,4.0351,190008701,0.0
76,2020-10-30,4.29,4.3,3.73,3.96,3.869,154417850,0.0
77,2020-10-23,4.1,4.56,3.98,4.44,4.338,144389036,0.0
78,2020-10-16,4.24,4.47,4.06,4.07,3.9765,115946135,0.0
79,2020-10-09,4.21,4.475,4.03,4.26,4.1621,126902353,0.0
80,2020-10-02,4.21,4.37,3.79,4.12,4.0253,132466193,0.0
81,2020-09-25,4.64,4.69,4.02,4.14,4.0449,114526955,0.0
82,2020-09-18,4.47,4.87,4.32,4.82,4.7092,152333111,0.0
83,2020-09-11,4.77,4.79,4.34,4.47,4.3673,129024915,0.0
84,2020-09-04,5.39,5.4,4.85,4.93,4.8167,124502749,0.0
85,2020-08-28,5.35,5.59,5.22,5.39,5.2661,92441526,0.0
86,2020-08-21,6.02,6.05,5.25,5.27,5.1489,123727499,0.0
87,2020-08-14,5.77,6.36,5.72,6.05,5.911,107747391,0.0
88,2020-08-07,5.49,6.08,5.34,5.74,5.6081,139796905,0.0
89,2020-07-31,5.73,5.74,5.36,5.49,5.3638,93853337,0.0
90,2020-07-24,5.5,5.96,5.41,5.72,5.5885,120122270,0.0
91,2020-07-17,5.38,5.86,4.97,5.51,5.3834,140517133,0.0
92,2020-07-10,6.22,6.22,5.12,5.35,5.227,142154164,0.0
93,2020-07-02,5.79,6.27,5.66,6.12,5.9794,101155101,0.0
94,2020-06-26,6.26,6.44,5.55,5.74,5.6081,135374686,0.0
95,2020-06-19,6.22,7.0,6.12,6.36,6.2138,164899824,0.0
96,2020-06-12,8.42,8.48,6.19,6.58,6.4288,236190695,0.0
97,2020-06-05,5.34,7.45,5.25,7.32,7.1518,226366486,0.0
98,2020-05-29,6.07,6.15,5.31,5.34,5.2173,218622730,0.0
99,2020-05-22,5.94,6.2,5.75,5.89,5.7546,165368629,0.0
100,2020-05-15,5.7,6.23,5.2,5.61,5.4811,212643201,0.0
101,2020-05-08,5.34,6.25,5.24,5.78,5.6472,187826293,0.0
102,2020-05-01,4.8,6.34,4.57,5.5,5.3736,226372513,0.0
103,2020-04-24,4.0,5.15,3.96,4.93,4.8167,230207477,0.0
104,2020-04-17,4.43,4.45,3.88,4.35,4.25,231992210,0.0
105,2020-04-09,3.69,4.55,3.51,4.12,4.0253,300455648,0.0
106,2020-04-03,3.49,3.8,3.02,3.65,3.5661,305907203,0.0
107,2020-03-27,3.56,4.06,3.31,3.52,3.4391,216837888,0.0
108,2020-03-20,3.81,4.51,3.2,3.56,3.4782,206749905,0.0
109,2020-03-13,4.21,5.0,3.32,4.53,4.4259,376535428,0.0
110,2020-03-06,8.45,8.47,6.78,6.83,6.673,123137463,0.0
111,2020-02-28,9.64,9.64,7.54,8.28,8.0897,143548295,0.0
112,2020-02-21,10.45,10.6,9.97,10.11,9.8777,69164882,0.05
113,2020-02-14,11.56,11.97,10.59,10.64,10.3453,97213050,0.0
114,2020-02-07,11.34,12.3,11.25,11.68,11.3564,66210103,0.0
115,2020-01-31,11.63,11.99,11.36,11.37,11.055,80521787,0.0
116,2020-01-24,13.14,13.18,11.74,11.93,11.5995,48320504,0.0
117,2020-01-17,13.08,13.47,12.89,13.21,12.8441,51115783,0.0
118,2020-01-10,13.84,14.01,12.91,13.18,12.8149,62418270,0.0
