,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,502.0,502.0,477.0,493.27,493.27,1564508,0.0
1,2022-04-08,518.2,527.74,500.54,506.49,506.49,3139308,0.0
2,2022-04-01,493.4,526.29,492.225,516.0,516.0,3874501,0.0
3,2022-03-25,513.89,519.99,486.56,490.31,490.31,2306902,0.0
4,2022-03-18,460.0,522.74,452.562,520.34,520.34,2850944,0.0
5,2022-03-11,497.2,497.56,450.85,456.63,456.63,3542293,0.0
6,2022-03-04,504.87,519.015,491.1914,497.78,497.78,3330077,0.0
7,2022-02-25,521.47,533.125,490.19,513.21,513.21,3665316,0.0
8,2022-02-18,533.11,550.94,521.921,527.0,527.0,1885667,1.04
9,2022-02-11,551.75,564.27,524.945,534.26,533.2166,2798278,0.0
10,2022-02-04,511.11,563.23,511.09,554.71,553.6267,3682094,0.0
11,2022-01-28,490.2,516.9,475.0,508.13,507.1376,4107551,0.0
12,2022-01-21,513.68,532.69,499.58,500.82,499.8419,2389451,0.0
13,2022-01-14,542.48,568.0,517.29,526.74,525.7113,3450570,0.0
14,2022-01-07,614.33,617.13,550.22,552.0,550.922,2484928,0.0
15,2021-12-31,615.24,623.16,610.51,612.69,611.4934,780595,0.0
16,2021-12-23,579.59,616.605,573.18,611.27,610.0762,1184288,0.0
17,2021-12-17,626.72,634.0,581.45,590.22,589.0673,2446132,0.0
18,2021-12-10,605.09,646.99,593.0101,628.14,626.9133,1473996,0.0
19,2021-12-03,634.97,649.885,592.63,603.45,602.2715,2103764,0.0
20,2021-11-26,657.0,657.96,618.91,621.04,619.8271,1363670,0.0
21,2021-11-19,654.45,679.85,650.76,656.88,655.5971,1160974,0.0
22,2021-11-12,655.43,660.0,635.503,652.57,651.2955,1253328,1.04
23,2021-11-05,668.94,669.72,638.78,653.34,651.0094,1323774,0.0
24,2021-10-29,649.62,666.15,636.47,664.88,662.5083,1599717,0.0
25,2021-10-22,616.12,649.19,613.0,649.09,646.7746,1236400,0.0
26,2021-10-15,596.07,620.17,592.2384,616.08,613.8824,1036905,0.0
27,2021-10-08,607.62,614.26,580.19,600.12,597.9793,1507600,0.0
28,2021-10-01,655.84,656.57,595.0,610.7,608.5215,1984295,0.0
29,2021-09-24,631.05,661.74,624.9335,661.37,659.0108,1402301,0.0
30,2021-09-17,656.18,656.335,635.26,641.66,639.3711,1972495,0.0
31,2021-09-10,650.54,667.07,642.04,650.87,648.5483,957320,0.0
32,2021-09-03,631.0,659.085,631.0,650.75,648.4287,1340555,0.0
33,2021-08-27,618.91,632.54,618.18,629.59,627.3442,977219,0.0
34,2021-08-20,628.29,631.96,594.285,618.86,616.6524,1643960,0.0
35,2021-08-13,629.19,635.11,618.25,630.02,627.7726,1416731,1.04
36,2021-08-06,600.12,635.5768,600.12,628.9,625.6159,1455502,0.0
37,2021-07-30,574.21,601.6914,566.265,595.96,592.8479,1434622,0.0
38,2021-07-23,560.2,580.09,551.24,578.95,575.9267,1100897,0.0
39,2021-07-16,561.0,571.95,551.9,564.83,561.8804,1187679,0.0
40,2021-07-09,543.3,560.39,541.39,560.23,557.3045,1230805,0.0
41,2021-07-02,534.98,543.29,527.81,541.91,539.0801,1733871,0.0
42,2021-06-25,505.0,535.32,496.745,531.75,528.9732,2913906,0.0
43,2021-06-18,480.33,506.4,478.73,502.9,500.2738,2273330,0.0
44,2021-06-11,467.11,482.945,460.74,479.51,477.006,1502938,0.0
45,2021-06-04,471.13,472.63,458.49,466.36,463.9247,1154500,0.0
46,2021-05-28,459.72,472.6236,459.38,468.13,465.6854,1540297,0.0
47,2021-05-21,463.46,463.46,443.0,456.88,454.4942,1699973,0.0
48,2021-05-14,482.11,486.14,459.0154,463.46,461.0398,1661533,0.78
49,2021-05-07,486.98,489.64,469.5,482.31,478.9811,1302869,0.0
50,2021-04-30,485.79,495.16,476.96,485.77,482.4172,1839603,0.0
51,2021-04-23,469.31,488.36,462.81,486.5,483.1422,1481953,0.0
52,2021-04-16,445.8,474.46,442.48,473.52,470.2518,1685726,0.0
53,2021-04-09,431.39,450.99,428.967,448.5,445.4045,1482208,0.0
54,2021-04-01,423.35,439.46,414.23,428.55,425.5922,1419854,0.0
55,2021-03-26,409.3,425.72,408.59,424.87,421.9376,2015541,0.0
56,2021-03-19,414.37,426.6,403.6,410.36,407.5277,2139376,0.0
57,2021-03-12,413.99,421.61,402.2,416.53,413.6551,2459730,0.0
58,2021-03-05,418.09,429.56,400.01,414.72,411.8576,3304308,0.0
59,2021-02-26,427.6,429.73,400.495,414.52,411.659,2829644,0.0
60,2021-02-19,439.19,445.6,431.98,432.97,429.9816,1913237,0.78
61,2021-02-12,431.49,435.2,409.84,434.77,431.0009,1928618,0.0
62,2021-02-05,405.68,433.32,400.41,429.81,426.0839,2979587,0.0
63,2021-01-29,411.9,414.98,380.0,395.3,391.8731,4384963,0.0
64,2021-01-22,415.95,423.365,406.42,411.88,408.3093,2161132,0.0
65,2021-01-15,451.19,455.81,404.04,415.3,411.6997,2712830,0.0
66,2021-01-08,450.76,455.03,423.88,452.68,448.7556,1854364,0.0
67,2020-12-31,437.71,446.9,430.46,446.53,442.6589,900462,0.0
68,2020-12-24,438.62,442.38,427.34,432.46,428.7109,849718,0.0
69,2020-12-18,419.93,444.025,419.93,443.06,439.219,2243008,0.0
70,2020-12-11,423.43,429.77,411.425,419.47,415.8335,1781076,0.0
71,2020-12-04,400.48,428.4852,400.48,421.71,418.0541,2372450,0.0
72,2020-11-27,401.82,408.72,395.685,402.25,398.7628,1164016,0.0
73,2020-11-20,389.53,409.62,383.96,400.3,396.8297,1894491,0.0
74,2020-11-13,434.13,437.35,373.48,388.42,385.0527,3435457,0.78
75,2020-11-06,355.07,427.02,351.54,421.15,416.6645,3467570,0.0
76,2020-10-30,345.99,360.835,336.03,349.84,346.114,2810936,0.0
77,2020-10-23,367.21,370.59,346.55,350.55,346.8165,2050520,0.0
78,2020-10-16,354.76,369.25,350.23,365.61,361.7161,1481662,0.0
79,2020-10-09,350.86,355.49,342.515,352.33,348.5775,2207696,0.0
80,2020-10-02,356.24,369.0,347.41,348.16,344.4519,1700342,0.0
81,2020-09-25,340.82,354.85,339.595,352.96,349.2008,2345532,0.0
82,2020-09-18,344.11,350.83,338.05,344.96,341.286,3335994,0.0
83,2020-09-11,338.79,353.11,336.935,339.25,335.6368,1758620,0.0
84,2020-09-04,375.88,382.01,338.285,348.18,344.4717,2374495,0.0
85,2020-08-28,368.0,374.67,360.91,373.68,369.7001,1339020,0.0
86,2020-08-21,357.47,373.43,356.77,363.69,359.8165,2163874,0.0
87,2020-08-14,361.24,363.465,345.595,356.41,352.614,2215734,0.78
88,2020-08-07,380.47,382.815,357.8881,362.37,357.7352,2687822,0.0
89,2020-07-31,385.58,397.51,368.85,375.98,371.1711,3006742,0.0
90,2020-07-24,380.34,398.49,378.6,385.65,380.7174,1760683,0.0
91,2020-07-17,374.63,383.22,357.14,379.62,374.7646,1924427,0.0
92,2020-07-10,347.0,379.97,345.17,370.95,366.2055,3019343,0.0
93,2020-07-02,334.1,345.73,323.5,342.13,337.7541,1767726,0.0
94,2020-06-26,332.51,343.05,324.75,332.2,327.9511,2641556,0.0
95,2020-06-19,315.14,336.77,312.24,333.46,329.195,2579275,0.0
96,2020-06-12,325.7,335.4,299.09,320.95,316.845,3236277,0.0
97,2020-06-05,330.32,337.85,301.01,330.88,326.648,3932185,0.0
98,2020-05-29,345.0,346.18,311.08,328.85,324.6439,3293117,0.0
99,2020-05-22,348.59,353.2,331.02,337.97,333.6473,2214523,0.0
100,2020-05-15,330.4,356.66,329.46,341.22,336.8557,2602166,0.68
101,2020-05-08,317.65,342.58,314.26,333.58,328.66,2196736,0.0
102,2020-05-01,329.79,344.0,311.14,319.94,315.2212,3102337,0.0
103,2020-04-24,315.57,326.06,308.47,324.89,320.0982,2619423,0.0
104,2020-04-17,308.77,323.44,300.32,317.18,312.5019,3449591,0.0
105,2020-04-09,285.54,314.5,280.07,310.69,306.1076,2936023,0.0
106,2020-04-03,278.03,301.9,265.29,270.61,266.6188,4093397,0.0
107,2020-03-27,235.78,295.84,221.82,275.74,271.6731,5570268,0.0
108,2020-03-20,251.0,272.76,218.65,243.07,239.485,7186781,0.0
109,2020-03-13,267.18,285.79,232.01,283.4,279.2201,7372091,0.0
