,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,99.83,100.75,92.24,96.32,96.32,10469081,0.0
1,2022-04-08,110.14,114.355,99.98,100.48,100.48,8433928,0.0
2,2022-04-01,107.2,112.64,104.465,109.02,109.02,9960548,0.0
3,2022-03-25,101.57,107.24,98.585,106.73,106.73,12481349,0.0
4,2022-03-18,87.83,102.98,84.51,102.69,102.69,22318019,0.0
5,2022-03-11,96.53,100.57,84.2,88.45,88.45,23746277,0.0
6,2022-03-04,112.24,114.02,95.74,96.59,96.59,13624595,0.0
7,2022-02-25,106.82,113.87,100.6,113.22,113.22,11421272,0.0
8,2022-02-18,112.35,118.95,106.61,107.56,107.56,10932028,0.0
9,2022-02-11,116.52,117.39,111.59,112.76,112.76,11065023,0.0
10,2022-02-04,108.04,121.49,105.46,115.98,115.98,18511203,0.0
11,2022-01-28,112.61,117.4694,105.15,109.22,109.22,14257318,0.0
12,2022-01-21,118.14,122.08,115.09,115.84,115.84,10714199,0.0
13,2022-01-14,123.5,129.51,118.68,121.15,121.15,10763872,0.0
14,2022-01-07,132.895,136.99,122.56,125.27,125.27,11145241,0.0
15,2021-12-31,133.73,135.21,129.86,132.25,132.25,6527189,0.0
16,2021-12-23,124.0,134.52,122.26,133.44,133.44,7545957,0.0
17,2021-12-17,129.92,130.7,118.51,126.65,126.65,18906417,0.0
18,2021-12-10,125.96,141.396,123.84,130.34,130.34,13790808,0.0
19,2021-12-03,135.74,135.84,120.89,126.19,126.19,18387224,0.0
20,2021-11-26,141.99,143.65,130.79,133.67,133.67,12330222,0.0
21,2021-11-19,147.2,149.83,139.53,140.95,140.95,10873276,0.0
22,2021-11-12,160.48,160.9,146.22,146.95,146.95,12824560,0.0
23,2021-11-05,150.8,164.56,145.75,160.73,160.73,14494402,0.0
24,2021-10-29,168.045,169.76,149.55,150.78,150.78,13625334,0.0
25,2021-10-22,159.02,182.0,155.77,169.32,169.32,17433113,0.0
26,2021-10-15,156.44,161.5805,155.46,160.02,160.02,10012001,0.0
27,2021-10-08,157.87,161.38,150.11,157.54,157.54,11167153,0.0
28,2021-10-01,159.55,165.61,151.79,158.63,158.63,19455083,0.0
29,2021-09-24,155.96,161.36,148.16,160.91,160.91,17021487,0.0
30,2021-09-17,165.16,166.0,154.71,157.14,157.14,71707505,0.0
31,2021-09-10,161.01,171.52,153.4,164.38,164.38,38657280,0.0
32,2021-09-03,140.76,148.67,136.83,148.19,148.19,16596779,0.0
33,2021-08-27,133.5,142.01,132.63,141.0,141.0,14043148,0.0
34,2021-08-20,135.09,136.0829,129.75,132.66,132.66,12567803,0.0
35,2021-08-13,145.4,145.95,134.855,136.25,136.25,13548801,0.0
36,2021-08-06,161.05,163.0,145.0,145.79,145.79,17555044,0.0
37,2021-07-30,165.18,167.005,159.04,159.27,159.27,6717748,0.0
38,2021-07-23,159.4,168.205,152.48,165.86,165.86,13008342,0.0
39,2021-07-16,163.21,166.79,158.16,161.17,161.17,7813871,0.0
40,2021-07-09,161.35,163.21,154.31,162.63,162.63,5168564,0.0
41,2021-07-02,161.14,163.9022,157.95,161.4,161.4,7891862,0.0
42,2021-06-25,154.52,167.455,151.3,161.99,161.99,13108956,0.0
43,2021-06-18,141.85,155.75,141.14,153.92,153.92,11076396,0.0
44,2021-06-11,138.02,145.1974,137.93,141.57,141.57,8043867,0.0
45,2021-06-04,143.87,145.7,136.03,137.93,137.93,9599143,0.0
46,2021-05-28,144.18,149.38,142.18,143.38,143.38,9325022,0.0
47,2021-05-21,140.35,145.49,132.33,143.32,143.32,9216418,0.0
48,2021-05-14,144.15,147.09,135.51,142.19,142.19,9110523,0.0
49,2021-05-07,156.26,156.59,136.15,146.19,146.19,17925580,0.0
50,2021-04-30,150.885,160.25,148.965,155.63,155.63,10325854,0.0
51,2021-04-23,145.29,149.37,138.3,149.01,149.01,7603869,0.0
52,2021-04-16,145.56,148.94,142.36,145.3,145.3,6305489,0.0
53,2021-04-09,142.23,145.66,140.07,143.87,143.87,8113613,0.0
54,2021-04-01,137.6,144.8,129.68,142.66,142.66,10256282,0.0
55,2021-03-26,153.37,156.29,132.32,138.27,138.27,12101460,0.0
56,2021-03-19,152.5,157.46,146.33,152.7,152.7,9690389,0.0
57,2021-03-12,146.3,157.9,143.495,153.38,153.38,11946599,0.0
58,2021-03-05,157.87,157.87,140.01,146.29,146.29,14074789,0.0
59,2021-02-26,159.83,161.9664,146.485,152.85,152.85,14363043,0.0
60,2021-02-19,170.65,171.1,156.28,160.95,160.95,9282744,0.0
61,2021-02-12,160.17,174.68,154.03,169.53,169.53,20796269,0.0
62,2021-02-05,142.41,159.99,137.58,159.82,159.82,22016630,0.0
63,2021-01-29,141.59,146.7871,130.0,139.86,139.86,18041442,0.0
64,2021-01-22,151.5,152.15,139.55,141.0,141.0,11627400,0.0
65,2021-01-15,151.62,159.85,145.09,150.85,150.85,9506161,0.0
66,2021-01-08,153.31,154.75,147.16,151.79,151.79,7438851,0.0
67,2020-12-31,153.64,154.745,146.81,151.19,151.19,6342556,0.0
68,2020-12-24,152.26,158.4,148.68,152.08,152.08,6145390,0.0
69,2020-12-18,149.6,159.53,144.65,155.07,155.07,22531496,0.0
70,2020-12-11,144.31,148.645,141.64,148.11,148.11,9063639,0.0
71,2020-12-04,139.11,146.13,135.3028,145.39,145.39,9899856,0.0
72,2020-11-27,131.07,143.09,131.07,139.63,139.63,6751399,0.0
73,2020-11-20,133.75,137.22,129.61,130.57,130.57,7982642,0.0
74,2020-11-13,136.6373,141.805,129.38,131.6,131.6,11374781,0.0
75,2020-11-06,117.51,138.5,116.23,132.56,132.56,19023427,0.0
76,2020-10-30,118.69,127.42,116.24,116.78,116.78,11196920,0.0
77,2020-10-23,112.29,120.38,111.59,120.3,120.3,8481769,0.0
78,2020-10-16,112.5,113.9399,107.05,112.21,112.21,9021258,0.0
79,2020-10-09,112.99,117.49,111.66,112.38,112.38,9947944,0.0
80,2020-10-02,107.15,116.58,106.63,111.94,111.94,12585806,0.0
81,2020-09-25,106.08,108.79,100.61,105.75,105.75,11361712,0.0
82,2020-09-18,105.74,111.6595,105.36,108.41,108.41,18829954,0.0
83,2020-09-11,102.005,108.37,100.25,103.65,103.65,10937457,0.0
84,2020-09-04,111.49,117.62,102.08,105.94,105.94,13864972,0.0
85,2020-08-28,113.64,114.963,109.56,111.5,111.5,8460252,0.0
86,2020-08-21,118.8,119.79,112.16,112.55,112.55,16655266,0.0
87,2020-08-14,117.01,121.44,112.69,118.8,118.8,13630961,0.0
88,2020-08-07,103.78,123.0,103.065,115.88,115.88,21514847,0.0
89,2020-07-31,91.69,104.33,91.0,102.7,102.7,22611161,0.0
90,2020-07-24,91.71,98.98,87.56,90.36,90.36,15908962,0.0
91,2020-07-17,100.72,101.47,90.95,91.75,91.75,22063591,0.0
92,2020-07-10,100.0,102.15,91.51,100.39,100.39,35223191,0.0
93,2020-07-02,101.0,108.45,94.01,98.92,98.92,27215120,0.0
