,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,27.21,27.57,27.07,27.52,27.52,55313797,0.0
1,2022-04-08,27.3,27.79,27.1,27.75,27.75,89098000,0.0
2,2022-04-01,22.3,27.39,21.84,27.33,27.33,178463728,0.0
3,2022-03-25,20.43,23.75,20.43,22.28,22.28,55686632,0.0
4,2022-03-18,17.67,25.78,17.055,24.44,24.44,82998754,0.0
5,2022-03-11,16.89,18.39,16.48,17.51,17.51,31111419,0.0
6,2022-03-04,17.96,18.43,16.7,16.9,16.9,30529036,0.06
7,2022-02-25,17.26,17.58,16.02,17.57,17.511,21013463,0.0
8,2022-02-18,17.95,18.47,17.215,17.31,17.2518,23700537,0.0
9,2022-02-11,18.52,19.14,17.885,17.99,17.9296,29625594,0.0
10,2022-02-04,18.18,19.2,18.15,18.39,18.3282,19956717,0.0
11,2022-01-28,18.5,19.505,17.82,18.3,18.2385,25515281,0.0
12,2022-01-21,20.34,20.56,18.75,18.86,18.7966,11330527,0.0
13,2022-01-14,20.94,21.16,20.05,20.51,20.4411,18412283,0.0
14,2022-01-07,20.7,21.665,19.89,21.0,20.9295,18522030,0.0
15,2021-12-31,20.9,21.51,20.38,20.51,20.4411,8875192,0.0
16,2021-12-23,20.01,21.16,19.53,21.04,20.9693,15247864,0.0
17,2021-12-17,20.68,20.96,19.47,20.44,20.3713,21743559,0.0
18,2021-12-10,20.0,21.0,19.97,20.68,20.6105,14854775,0.0
19,2021-12-03,20.62,20.62,18.8999,19.75,19.6837,18991980,0.0
20,2021-11-26,20.96,21.42,20.165,20.3,20.2318,11795406,0.0
21,2021-11-19,21.17,22.088,20.9,20.96,20.8896,12245183,0.06
22,2021-11-12,21.44,21.725,20.65,21.09,20.9617,29194414,0.0
23,2021-11-05,20.35,21.405,20.26,21.34,21.2102,16008203,0.0
24,2021-10-29,19.8,20.95,19.14,20.25,20.1269,25261572,0.0
25,2021-10-22,19.67,20.11,19.525,19.67,19.5504,11325163,0.0
26,2021-10-15,19.6,20.035,19.2,19.77,19.6498,18262611,0.0
27,2021-10-08,19.36,19.745,18.76,19.56,19.4411,16160210,0.0
28,2021-10-01,19.88,20.03,19.17,19.45,19.3317,18286359,0.0
29,2021-09-24,19.56,20.03,19.13,19.72,19.6001,16739955,0.0
30,2021-09-17,20.09,20.54,19.83,19.99,19.8684,17912362,0.0
31,2021-09-10,20.84,21.05,19.805,19.89,19.769,15308554,0.0
32,2021-09-03,21.68,21.77,20.865,20.98,20.8524,17122903,0.0
33,2021-08-27,22.7,22.79,21.2,21.67,21.5382,40253054,0.0
34,2021-08-20,22.91,23.04,22.14,22.5,22.3632,18412456,0.06
35,2021-08-13,23.16,23.46,22.83,23.01,22.8089,17933134,0.0
36,2021-08-06,23.77,24.35,22.998,23.18,22.9775,18177249,0.0
37,2021-07-30,24.13,24.48,23.51,23.69,23.483,12622998,0.0
38,2021-07-23,23.18,24.64,22.95,24.14,23.9291,11055482,0.0
39,2021-07-16,24.23,24.32,23.65,23.76,23.5524,8439186,0.0
40,2021-07-09,24.65,24.76,23.42,24.31,24.0976,8591105,0.0
41,2021-07-02,25.26,25.28,24.31,24.74,24.5238,7557676,0.0
42,2021-06-25,24.71,25.44,24.48,25.32,25.0988,13258229,0.0
43,2021-06-18,26.14,26.29,24.44,24.45,24.2364,14832899,0.0
44,2021-06-11,27.19,27.29,25.55,26.14,25.9116,14133436,0.0
45,2021-06-04,27.58,27.64,26.81,27.03,26.7938,15470745,0.06
46,2021-05-28,27.42,27.59,26.82,27.21,26.9133,10530475,0.0
47,2021-05-21,27.94,28.21,26.65,27.15,26.8539,13492342,0.0
48,2021-05-14,27.74,28.42,27.23,28.01,27.7045,22259896,0.0
49,2021-05-07,25.82,27.68,25.41,27.65,27.3485,17259373,0.0
50,2021-04-30,25.62,26.225,25.26,25.65,25.3703,20426985,0.0
51,2021-04-23,25.57,25.75,24.54,25.6,25.3208,11957757,0.0
52,2021-04-16,25.53,25.9,25.17,25.69,25.4098,17124580,0.0
53,2021-04-09,25.5,25.75,24.87,25.57,25.2912,20315476,0.0
54,2021-04-01,25.44,25.55,24.255,25.33,25.0538,12419723,0.0
55,2021-03-26,26.26,26.26,24.62,25.5,25.2219,16787284,0.0
56,2021-03-19,26.03,26.74,25.7,26.23,25.944,19945089,0.0
57,2021-03-12,25.1,26.54,25.0,26.14,25.8549,25274854,0.0
58,2021-03-05,22.76,25.1,22.66,24.95,24.6779,41914779,0.06
59,2021-02-26,23.3,24.38,22.05,22.41,22.1106,18202107,0.0
60,2021-02-19,23.8,23.97,23.09,23.38,23.0676,8740870,0.0
61,2021-02-12,22.77,23.8,22.53,23.78,23.4623,14783967,0.0
62,2021-02-05,22.56,23.0,21.97,22.69,22.3868,14516375,0.0
63,2021-01-29,21.62,23.99,21.41,22.33,22.0316,25685218,0.0
64,2021-01-22,22.3,22.47,21.445,21.73,21.4397,17436103,0.0
65,2021-01-15,20.66,22.525,20.551,22.13,21.8343,18030125,0.0
66,2021-01-08,20.86,21.28,20.185,20.94,20.6602,26072640,0.0
67,2020-12-31,20.48,21.285,20.36,20.87,20.5911,26992128,0.0
68,2020-12-24,19.6,20.4,19.285,20.32,20.0485,9374351,0.0
69,2020-12-18,19.23,20.11,19.01,20.09,19.8216,25710764,0.0
70,2020-12-11,17.83,19.15,17.03,19.1,18.8448,32386125,0.0
71,2020-12-04,16.25,18.0,16.02,17.96,17.72,49793760,0.0
72,2020-11-27,15.8,16.68,15.62,16.24,16.023,15374190,0.0
73,2020-11-20,16.07,16.78,15.68,15.75,15.5396,25466467,0.06
74,2020-11-13,14.9,16.07,14.6,15.75,15.4823,28687196,0.0
75,2020-11-06,14.6,14.75,13.88,14.18,13.9389,23762988,0.0
76,2020-10-30,14.04,14.55,13.125,13.51,13.2803,31565395,0.0
77,2020-10-23,14.02,14.28,13.37,14.18,13.9389,15468623,0.0
78,2020-10-16,13.81,14.19,13.41,13.94,13.703,18316238,0.0
79,2020-10-09,14.44,14.785,13.66,13.75,13.5163,16434616,0.0
80,2020-10-02,14.12,14.57,13.87,14.29,14.0471,12691962,0.0
81,2020-09-25,14.41,14.55,13.295,13.87,13.6342,20869564,0.0
82,2020-09-18,14.58,15.94,14.57,14.78,14.5287,22537613,0.0
83,2020-09-11,15.2,15.25,14.21,14.49,14.2437,12222361,0.0
84,2020-09-04,15.5,16.045,14.83,15.28,15.0202,13492355,0.0
85,2020-08-28,14.94,15.79,14.87,15.59,15.325,9384652,0.0
86,2020-08-21,15.8,16.02,14.9,14.9,14.6467,18497990,0.06
87,2020-08-14,15.93,16.69,15.62,15.89,15.5613,16250969,0.0
88,2020-08-07,14.49,15.93,14.24,15.88,15.5515,22376571,0.0
89,2020-07-31,14.89,14.98,14.14,14.43,14.1315,14642521,0.0
90,2020-07-24,15.26,15.35,14.82,14.93,14.6212,7689985,0.0
91,2020-07-17,14.73,15.83,14.42,15.35,15.0325,14835231,0.0
92,2020-07-10,15.18,15.35,14.19,14.63,14.3274,11740930,0.0
93,2020-07-02,14.3,15.31,14.1,14.72,14.4155,10336416,0.0
94,2020-06-26,14.71,14.99,13.75,14.08,13.7888,19334072,0.0
95,2020-06-19,14.63,16.01,14.57,14.74,14.4351,24776754,0.0
96,2020-06-12,16.53,17.54,14.7,15.12,14.8073,24541880,0.0
97,2020-06-05,13.96,17.05,13.92,16.26,15.9237,22465206,0.06
98,2020-05-29,14.09,14.79,13.32,13.89,13.5516,16574052,0.0
99,2020-05-22,13.25,13.99,13.24,13.59,13.2589,14715536,0.0
100,2020-05-15,14.03,14.15,11.83,12.71,12.4003,17162605,0.0
101,2020-05-08,13.68,14.47,13.05,14.15,13.8052,13985739,0.0
102,2020-05-01,12.55,14.93,12.46,13.96,13.6199,33833198,0.0
103,2020-04-24,13.06,13.23,11.62,12.47,12.1662,26314363,0.0
104,2020-04-17,13.95,14.26,12.48,13.26,12.9369,18136785,0.0
105,2020-04-09,12.91,15.5,12.71,14.14,13.7955,21990504,0.0
106,2020-04-03,13.0,13.19,11.62,12.17,11.8735,20684329,0.0
107,2020-03-27,13.57,14.35,11.84,13.0,12.6832,26726383,0.0
108,2020-03-20,13.4,16.45,12.81,13.62,13.2881,28875085,0.0
109,2020-03-13,15.2,16.05,13.48,15.05,14.6833,26812895,0.0
110,2020-03-06,18.33,18.66,15.83,16.36,15.9614,29186629,0.06
111,2020-02-28,21.35,21.54,17.83,18.21,17.7066,29461693,0.0
112,2020-02-21,21.36,22.33,21.24,21.85,21.246,11840107,0.0
113,2020-02-14,21.25,22.2,21.12,21.39,20.7987,11587158,0.0
114,2020-02-07,20.57,21.47,20.48,21.29,20.7014,10030125,0.0
115,2020-01-31,20.88,20.96,20.24,20.4,19.836,19207692,0.0
116,2020-01-24,21.48,21.48,20.95,21.16,20.575,10318940,0.0
117,2020-01-17,19.97,22.31,19.8,21.51,20.9154,22443632,0.0
118,2020-01-10,20.0,20.49,19.78,19.98,19.4277,17079284,0.0
119,2020-01-03,20.18,20.45,19.84,20.08,19.5249,15038595,0.0
120,2019-12-27,20.79,20.79,19.9,20.19,19.6318,14261795,0.0
121,2019-12-20,20.09,20.84,19.44,20.79,20.2153,24409068,0.0
122,2019-12-13,20.14,20.23,19.54,19.95,19.3985,16867648,0.0
123,2019-12-06,19.52,20.27,19.2,20.16,19.6027,15546342,0.0
124,2019-11-29,19.75,20.36,19.52,19.55,19.0095,12215384,0.0
125,2019-11-22,20.61,20.8,19.55,19.7,19.1554,15808532,0.06
126,2019-11-15,20.28,20.97,20.17,20.7,20.0677,16355360,0.0
127,2019-11-08,20.54,21.07,17.94,20.35,19.7284,41019060,0.0
128,2019-11-01,20.71,21.01,19.88,20.44,19.8156,12852552,0.0
129,2019-10-25,21.06,21.59,20.53,20.6,19.9708,12193234,0.0
130,2019-10-18,20.61,20.94,20.43,20.88,20.2422,9926501,0.0
131,2019-10-11,21.29,21.37,20.08,20.69,20.058,10241023,0.0
132,2019-10-04,21.08,21.5,19.86,21.35,20.6978,18506524,0.0
133,2019-09-27,22.34,22.53,20.96,21.05,20.407,14282845,0.0
134,2019-09-20,22.46,23.31,22.33,22.38,21.6964,13516997,0.0
135,2019-09-13,21.25,22.95,21.25,22.46,21.7739,12218344,0.0
136,2019-09-06,20.58,21.48,20.35,21.21,20.5621,11169056,0.0
137,2019-08-30,20.18,21.15,20.07,20.76,20.1259,11752932,0.0
138,2019-08-23,20.54,20.91,19.96,20.02,19.4085,14816904,0.35
139,2019-08-16,21.61,21.61,20.15,20.35,19.4002,17145858,0.0
140,2019-08-09,22.51,22.51,21.15,21.7,20.6872,12708288,0.0
141,2019-08-02,23.55,24.1,22.59,22.73,21.6691,19556061,0.0
142,2019-07-26,23.58,23.89,23.31,23.55,22.4509,9903560,0.0
143,2019-07-19,22.88,24.69,22.65,23.5,22.4032,20265058,0.0
144,2019-07-12,22.95,22.99,22.24,22.86,21.7931,11381542,0.0
145,2019-07-05,22.7,23.09,22.35,23.02,21.9456,9689427,0.0
146,2019-06-28,23.36,23.43,21.89,22.6,21.5452,15288904,0.0
147,2019-06-21,23.1,23.87,22.97,23.41,22.3174,16916743,0.0
148,2019-06-14,22.81,23.2,22.31,23.06,21.9837,11174662,0.0
149,2019-06-07,22.71,23.02,22.42,22.75,21.6882,16372617,0.35
150,2019-05-31,23.03,23.14,22.16,22.73,21.3397,18227796,0.0
151,2019-05-24,23.43,24.32,22.97,23.0,21.5931,17536568,0.0
152,2019-05-17,23.95,24.26,23.1,23.6,22.1564,18554053,0.0
153,2019-05-10,24.44,24.73,23.72,24.59,23.0859,15720452,0.0
154,2019-05-03,25.56,25.99,24.34,24.75,23.2361,16986536,0.0
155,2019-04-26,26.16,26.29,25.1,25.39,23.837,14897833,0.0
156,2019-04-18,26.73,27.03,25.89,26.23,24.6256,13747703,0.0
157,2019-04-12,26.1,27.28,25.52,26.64,25.0105,21530326,0.0
158,2019-04-05,23.83,26.66,23.72,26.21,24.6068,29409088,0.0
159,2019-03-29,26.81,27.33,23.5,23.67,22.2222,39686541,0.0
160,2019-03-22,27.02,27.57,26.55,26.86,25.217,10564451,0.0
161,2019-03-15,26.08,27.35,26.0,26.95,25.3015,16693322,0.0
162,2019-03-08,27.22,27.49,25.68,26.03,24.4378,18093585,0.35
163,2019-03-01,26.27,27.43,25.04,26.98,24.9964,25437611,0.0
164,2019-02-22,26.2,26.23,25.76,26.1,24.1811,12222262,0.0
165,2019-02-15,26.34,26.39,25.82,26.3,24.3664,18138085,0.0
166,2019-02-08,25.62,26.65,25.26,26.3,24.3664,16485983,0.0
167,2019-02-01,25.43,25.93,25.13,25.58,23.6993,10707770,0.0
168,2019-01-25,26.0,26.05,24.74,25.68,23.792,14583046,0.0
169,2019-01-18,25.4,26.22,25.0,26.14,24.2182,18172837,0.0
170,2019-01-11,24.62,25.95,24.37,25.68,23.792,14088468,0.0
171,2019-01-04,23.32,24.48,22.83,24.45,22.6524,12704904,0.0
172,2018-12-28,22.77,23.585,22.04,23.26,21.5499,13652146,0.0
173,2018-12-21,25.73,25.895,22.85,22.99,21.2998,23300401,0.0
174,2018-12-14,26.48,26.73,25.34,25.72,23.8291,15625404,0.0
175,2018-12-07,27.34,28.5,26.12,26.43,24.4869,19779563,0.0
176,2018-11-30,25.34,27.86,25.0,27.17,25.1724,21261993,0.0
177,2018-11-23,25.85,25.85,24.68,25.1,23.2546,10302756,0.35
178,2018-11-16,26.41,26.89,25.51,25.72,23.4994,15729587,0.0
179,2018-11-09,26.35,27.12,26.21,26.46,24.1755,18650252,0.0
180,2018-11-02,24.85,27.0,24.61,26.3,24.0293,30596607,0.0
181,2018-10-26,27.03,27.15,24.02,24.6,22.4761,32888196,0.0
182,2018-10-19,26.1,27.5,26.03,26.95,24.6232,12911838,0.0
183,2018-10-12,26.8,27.33,25.66,26.15,23.8923,17864777,0.0
184,2018-10-05,27.66,28.0,26.74,26.96,24.6323,15068276,0.0
185,2018-09-28,27.12,28.43,26.67,27.66,25.2719,28474801,0.0
186,2018-09-21,27.28,27.79,27.05,27.24,24.8882,21989408,0.0
187,2018-09-14,26.41,27.75,26.13,27.35,24.9887,20844442,0.0
188,2018-09-07,25.68,26.47,25.63,26.18,23.9197,14772630,0.0
189,2018-08-31,26.56,26.88,25.66,26.0,23.7552,22407685,0.0
190,2018-08-24,26.25,27.32,25.69,26.47,24.1846,24100767,0.35
191,2018-08-17,25.42,26.75,23.8,26.15,23.5753,75605652,0.0
192,2018-08-10,21.9,22.41,21.51,21.97,19.8068,44347342,0.0
193,2018-08-03,22.54,24.04,21.92,21.99,19.8249,39745782,0.0
194,2018-07-27,29.86,29.97,20.53,22.36,20.1584,62550998,0.0
195,2018-07-20,31.05,31.21,29.85,29.87,26.929,13136597,0.0
196,2018-07-13,31.29,32.07,30.97,31.08,28.0199,11065801,0.0
197,2018-07-06,29.86,31.33,29.72,31.21,28.1371,9969279,0.0
198,2018-06-29,30.99,31.3,30.05,30.93,27.8846,12822891,0.0
199,2018-06-22,31.23,31.59,30.29,31.12,28.0559,23387390,0.0
200,2018-06-15,31.25,31.74,30.84,31.39,28.2994,14640766,0.0
201,2018-06-08,30.44,31.3,29.67,31.24,28.1641,19246116,0.35
202,2018-06-01,29.8,30.31,29.51,29.83,26.5828,12303026,0.0
203,2018-05-25,31.22,31.54,29.98,30.0,26.7343,14658589,0.0
204,2018-05-18,30.32,31.72,30.13,31.09,27.7057,19448055,0.0
205,2018-05-11,30.19,30.45,29.81,30.17,26.8858,23033403,0.0
206,2018-05-04,32.14,32.25,29.65,30.19,26.9036,24031399,0.0
207,2018-04-27,33.19,34.37,31.7,32.05,28.5612,25412165,0.0
208,2018-04-20,32.84,34.86,32.43,33.04,29.4434,15899976,0.0
