,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,21.14,21.83,20.761,21.17,21.17,9816137,0.0
1,2022-04-08,21.772,22.135,20.92,21.34,21.34,9899081,0.0
2,2022-04-01,22.57,23.07,21.815,21.93,21.93,8454022,0.0
3,2022-03-25,22.27,22.815,21.61,22.58,22.58,10053574,0.0
4,2022-03-18,21.05,22.47,20.86,22.14,22.14,19799925,0.1
5,2022-03-11,21.15,21.745,20.045,20.96,20.8611,15883173,0.0
6,2022-03-04,22.13,22.62,21.05,21.22,21.1199,16904369,0.0
7,2022-02-25,22.06,22.3,20.53,22.28,22.1749,11710989,0.0
8,2022-02-18,22.69,23.695,22.04,22.15,22.0455,15680088,0.0
9,2022-02-11,22.58,23.665,22.37,22.65,22.5432,18375410,0.0
10,2022-02-04,21.73,23.73,21.62,22.5,22.3939,20391475,0.0
11,2022-01-28,21.25,22.1498,20.86,21.76,21.6574,16205463,0.0
12,2022-01-21,22.59,22.64,21.3,21.44,21.3389,9628204,0.0
13,2022-01-14,22.44,23.2,21.88,22.72,22.6128,11565884,0.0
14,2022-01-07,22.38,23.1,21.8,22.5,22.3939,16057444,0.0
15,2021-12-31,22.145,22.83,22.14,22.31,22.2048,12258007,0.0
16,2021-12-23,20.97,22.44,20.58,22.33,22.2247,8243616,0.0
17,2021-12-17,21.87,21.92,20.87,21.28,21.1796,16965765,0.0
18,2021-12-10,21.71,22.53,21.565,21.86,21.7569,16689153,0.0
19,2021-12-03,21.695,22.15,21.09,21.76,21.6574,36124666,0.0
20,2021-11-26,22.33,22.72,21.185,21.45,21.3488,14959000,0.0
21,2021-11-19,23.73,24.0,22.1,22.13,22.0256,15555262,0.0
22,2021-11-12,24.45,24.78,23.36,23.81,23.6977,15653145,0.0
23,2021-11-05,22.99,25.865,22.93,24.37,24.255,18435123,0.0
24,2021-10-29,24.17,24.41,22.715,22.9,22.792,14065702,0.0
25,2021-10-22,23.74,24.195,23.535,24.07,23.9565,8553093,0.0
26,2021-10-15,24.1,24.43,23.5,23.9,23.7873,10292304,0.0
27,2021-10-08,23.66,24.51,23.15,24.08,23.9664,10001743,0.0
