,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,72.13,73.085,71.14,72.61,72.61,9814411,0.0
1,2022-04-08,70.67,72.525,69.77,72.16,72.16,15872425,0.0
2,2022-04-01,67.91,70.91,67.8711,70.9,70.9,17208795,0.247
3,2022-03-25,66.83,67.99,66.24,67.95,67.7087,17769580,0.0
4,2022-03-18,65.67,66.95,64.51,66.88,66.6425,21551069,0.0
5,2022-03-11,66.43,66.52,64.13,65.35,65.1179,21222624,0.0
6,2022-03-04,66.5,66.97,65.165,66.82,66.5827,29201976,0.2465
7,2022-02-25,66.46,67.46,63.9,67.4,66.9111,18779632,0.0
8,2022-02-18,67.34,67.84,66.55,66.63,66.1466,17649128,0.0
9,2022-02-11,68.1,68.78,66.79,67.49,67.0004,14857889,0.0
10,2022-02-04,68.63,70.02,67.73,68.19,67.6953,17024739,0.2465
11,2022-01-28,66.97,70.0893,65.74,69.49,68.7418,22455634,0.0
12,2022-01-21,71.28,71.43,66.98,67.92,67.1887,15006379,0.0
13,2022-01-14,71.285,72.545,70.37,71.5,70.7301,16404584,0.0
14,2022-01-07,71.73,72.48,70.1,71.41,70.6411,15738313,0.0
15,2021-12-31,69.25,72.21,69.24,71.59,70.8192,12249078,0.2465
16,2021-12-23,67.14,69.42,66.36,69.22,68.2397,13851979,0.0
17,2021-12-17,66.99,68.67,65.65,67.78,66.8201,33233342,0.0
18,2021-12-10,67.77,69.585,66.89,66.94,65.992,23705070,0.0
19,2021-12-03,70.02,70.6,65.9,67.25,66.2976,26902010,0.246
20,2021-11-26,70.942,71.63,69.18,69.47,68.239,18699157,0.0
21,2021-11-19,71.37,72.16,69.55,70.91,69.6535,28794603,0.0
22,2021-11-12,71.82,72.91,70.67,72.74,69.2355,14382409,0.0
23,2021-11-05,71.0,72.65,69.38,71.77,68.3123,19196604,0.236
24,2021-10-29,71.78,74.6,71.24,71.43,67.763,71880736,0.0
25,2021-10-22,69.41,71.86,69.2,71.75,68.0665,14003796,0.0
26,2021-10-15,67.23,70.38,67.02,69.66,66.0838,20172682,0.0
27,2021-10-08,65.64,68.74,65.54,67.2,63.7501,15661780,0.0
28,2021-10-01,66.75,67.15,64.86,65.85,62.4694,18603561,0.236
29,2021-09-24,67.19,68.24,66.225,66.46,62.8195,20567428,0.0
30,2021-09-17,68.69,69.09,67.57,67.68,63.9727,25279655,0.0
31,2021-09-10,72.3,72.3,67.91,67.92,64.1996,15247809,0.0
32,2021-09-03,71.5,72.75,71.0,72.3,68.3396,20358719,0.2355
33,2021-08-27,71.99,72.3,70.26,71.55,67.4109,13002584,0.0
34,2021-08-20,71.97,72.73,70.85,71.91,67.7501,16018752,0.0
35,2021-08-13,70.56,71.98,70.0,71.95,67.7878,11232501,0.0
36,2021-08-06,70.58,71.25,69.66,70.62,66.5347,13638586,0.0
37,2021-07-30,70.35,71.45,70.14,70.29,66.2238,17811831,0.2355
38,2021-07-23,68.85,70.8,68.04,70.48,66.1811,13283323,0.0
39,2021-07-16,68.7,70.04,68.08,69.56,65.3172,12922940,0.0
40,2021-07-09,67.58,68.9,67.035,68.87,64.6693,12219693,0.0
41,2021-07-02,68.17,68.5,65.75,67.48,63.3641,23821480,0.2355
42,2021-06-25,67.16,68.49,66.88,68.13,63.7495,19987024,0.0
43,2021-06-18,70.47,70.73,66.83,66.84,62.5424,19698561,0.0
44,2021-06-11,70.5,71.3,69.975,70.38,65.8548,17851554,0.0
45,2021-06-04,68.72,70.78,68.34,70.42,65.8922,12198496,0.0
46,2021-05-28,66.88,69.5143,66.76,68.4,64.0021,19423500,0.235
47,2021-05-21,65.52,67.39,64.495,66.58,62.0858,14483517,0.0
48,2021-05-14,68.44,68.79,64.52,65.34,60.9295,16529957,0.0
49,2021-05-07,69.25,69.86,66.73,68.1,63.5032,20181342,0.0
50,2021-04-30,69.83,71.84,67.82,69.15,64.4823,19812253,0.235
51,2021-04-23,67.19,70.05,66.59,69.4,64.4963,11641502,0.0
52,2021-04-16,65.38,67.38,64.71,67.02,62.2844,10897149,0.0
53,2021-04-09,65.23,65.8,64.52,65.19,60.5838,11690738,0.0
54,2021-04-01,64.2,65.15,63.42,65.11,60.5094,9528004,0.235
55,2021-03-26,61.79,64.59,61.43,64.22,59.4622,13688427,0.0
56,2021-03-19,63.23,64.46,61.53,61.75,57.1752,22417610,0.0
57,2021-03-12,60.09,62.98,59.69,62.93,58.2678,16046890,0.0
58,2021-03-05,61.17,61.75,58.27,59.96,55.5178,17580425,0.0
59,2021-02-26,61.26,63.79,60.2,60.26,55.7956,17563750,0.2345
60,2021-02-19,62.65,62.81,60.84,61.09,56.3449,10544839,0.0
61,2021-02-12,61.21,63.49,60.78,62.46,57.6084,11388912,0.0
62,2021-02-05,59.45,61.44,58.84,61.18,56.4279,10406111,0.0
63,2021-01-29,60.0,61.75,58.895,59.06,54.4725,17242214,0.2345
64,2021-01-22,59.0,59.95,57.78,59.84,54.9737,11211271,0.0
65,2021-01-15,59.58,59.83,57.0,58.65,53.8805,24797287,0.0
66,2021-01-08,62.18,62.26,58.56,59.74,54.8818,18067002,0.0
67,2020-12-31,61.05,62.25,60.45,62.17,57.1142,7050386,0.2345
68,2020-12-24,59.28,61.43,58.7126,61.09,55.9111,8008669,0.0
69,2020-12-18,60.9,62.1,59.27,59.52,54.4742,16436202,0.0
70,2020-12-11,61.24,61.35,59.84,60.46,55.3345,16099775,0.0
71,2020-12-04,61.8,61.89,59.93,61.26,56.0667,13757213,0.234
72,2020-11-27,60.76,63.105,60.6,61.64,56.1952,10754018,0.0
73,2020-11-20,64.9,65.09,60.08,60.39,55.0557,14325203,0.0
74,2020-11-13,61.5,64.755,61.14,63.05,57.4807,16270613,0.0
75,2020-11-06,58.39,59.98,57.685,57.99,52.8676,13424496,0.0
76,2020-10-30,60.42,60.44,57.09,57.86,52.7491,11022407,0.234
77,2020-10-23,61.2,61.29,58.47,60.75,55.1608,8909306,0.0
78,2020-10-16,63.03,63.55,59.91,60.53,54.961,10450167,0.0
79,2020-10-09,63.83,64.61,62.22,63.19,57.3763,9155513,0.0
80,2020-10-02,61.47,64.1,60.02,63.86,57.9846,11728077,0.234
81,2020-09-25,61.55,61.645,58.36,59.93,54.2074,12705622,0.0
82,2020-09-18,63.93,66.8,62.27,62.35,56.3963,13201975,0.0
83,2020-09-11,64.2,65.67,62.5101,63.36,57.3099,7436380,0.0
84,2020-09-04,63.03,65.29,61.06,64.37,58.2234,13364648,0.2335
85,2020-08-28,61.0,63.54,60.44,63.44,57.1671,9138088,0.0
86,2020-08-21,61.09,62.11,59.8,61.12,55.0765,8140694,0.0
87,2020-08-14,62.8,63.88,60.79,61.01,54.9773,8617197,0.0
88,2020-08-07,59.49,62.85,58.88,62.72,56.5182,11260537,0.0
89,2020-07-31,57.42,60.73,56.72,60.05,54.1123,10600763,0.2335
90,2020-07-24,58.39,58.82,56.6373,57.42,51.5419,8677712,0.0
91,2020-07-17,57.36,59.05,56.33,58.59,52.5921,8464451,0.0
92,2020-07-10,62.29,62.44,56.33,56.99,51.1559,9492148,0.0
93,2020-07-02,58.97,62.56,57.69,61.1,54.8452,8427615,0.2335
94,2020-06-26,61.49,62.22,57.5,58.41,52.2256,14080143,0.0
95,2020-06-19,58.5,65.56,58.5,61.53,55.0153,28230120,0.0
96,2020-06-12,64.25,64.47,57.54,60.43,54.0317,15306266,0.0
97,2020-06-05,55.5,64.2,55.17,62.21,55.6233,15488303,0.0
98,2020-05-29,54.84,57.49,54.16,55.31,49.4538,22042669,0.233
99,2020-05-22,52.42,53.72,50.82,52.15,46.4328,13174313,0.0
100,2020-05-15,53.99,54.95,47.68,49.99,44.5096,16859759,0.0
101,2020-05-08,51.02,56.09,50.09,54.86,48.8457,15038444,0.0
102,2020-05-01,50.26,56.64,49.97,51.79,46.1123,16188187,0.233
103,2020-04-24,50.97,52.03,48.67,49.92,44.2595,11259787,0.0
104,2020-04-17,56.6,56.69,49.63,52.37,46.4317,17544357,0.0
105,2020-04-09,47.02,60.73,46.0,56.68,50.253,19145039,0.0
106,2020-04-03,57.03,57.62,43.41,43.6,38.6561,24818741,0.233
107,2020-03-27,46.54,60.13,40.39,56.9,50.2134,27691483,0.0
108,2020-03-20,63.8,66.5,38.0,47.42,41.8474,29174148,0.0
109,2020-03-13,71.31,76.68,66.06,71.92,63.4683,21388260,0.0
110,2020-03-06,72.99,78.33,71.66,76.65,67.6424,16778027,0.0
111,2020-02-28,82.12,83.4,69.38,72.39,63.8831,30935198,0.2325
112,2020-02-21,80.5,84.92,79.41,82.44,72.5191,8031978,0.0
113,2020-02-14,80.0,80.35,78.0,80.25,70.5927,7960306,0.0
114,2020-02-07,78.45,79.8,77.4,79.51,69.9417,7233331,0.0
115,2020-01-31,76.9,79.15,76.75,78.41,68.9741,16930418,0.2325
116,2020-01-24,76.36,78.17,76.35,77.13,67.6475,5183091,0.0
117,2020-01-17,73.91,76.75,73.81,76.35,66.9634,8318615,0.0
118,2020-01-10,73.65,74.7,73.16,73.74,64.6743,9123726,0.0
119,2020-01-03,72.98,74.0,71.93,73.79,64.7182,6657181,0.2275
120,2019-12-27,72.68,73.39,71.8,73.25,64.0467,3944745,0.0
121,2019-12-20,72.81,73.51,71.44,72.5,63.3909,13975324,0.0
122,2019-12-13,76.16,76.16,72.13,72.5,63.3909,12227724,0.0
123,2019-12-06,76.4,76.59,75.02,75.94,66.3987,8410439,0.0
124,2019-11-29,76.44,77.88,76.26,76.63,67.002,8256702,0.227
125,2019-11-22,77.49,79.15,75.7,76.22,66.4467,7704292,0.0
126,2019-11-15,76.45,77.55,75.63,77.46,67.5277,9288411,0.0
127,2019-11-08,80.89,81.05,76.21,76.32,66.5338,12647856,0.0
128,2019-11-01,80.57,82.17,80.19,81.08,70.6835,10258325,0.227
129,2019-10-25,79.35,81.14,79.18,80.88,70.314,7244983,0.0
130,2019-10-18,78.0,79.57,77.27,79.47,69.0882,6048066,0.0
131,2019-10-11,77.98,78.97,77.4,77.89,67.7146,6354933,0.0
132,2019-10-04,76.76,78.46,75.69,78.41,68.1667,8500145,0.227
133,2019-09-27,75.9,77.51,75.37,77.13,66.856,7650935,0.0
134,2019-09-20,72.74,76.24,72.74,75.89,65.7811,9183027,0.0
135,2019-09-13,75.72,75.9,72.39,72.63,62.9554,9118878,0.0
136,2019-09-06,73.75,76.73,73.72,75.95,65.8331,7686993,0.0
137,2019-08-30,72.92,74.17,72.48,73.81,63.9782,6404798,0.2265
138,2019-08-23,72.82,73.83,72.1,72.5,62.6504,4660135,0.0
139,2019-08-16,72.62,73.12,71.52,72.81,62.9183,6505034,0.0
