,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,77.0,77.26,74.7,74.75,74.75,7874230,0.0
1,2022-04-08,76.3,78.2,74.16,77.24,77.24,11238251,0.0
2,2022-04-01,76.96,79.49,75.75,76.28,76.28,10297360,0.0
3,2022-03-25,77.52,78.58,75.95,77.24,77.24,9398253,0.0
4,2022-03-18,73.33,78.37,71.07,77.98,77.98,16966174,0.0
5,2022-03-11,77.8,78.09,72.27,72.4,72.4,16340372,0.0
6,2022-03-04,77.16,80.54,76.56,77.96,77.96,16333878,0.0
7,2022-02-25,76.1,78.78,73.1,78.51,78.51,12040383,0.0
8,2022-02-18,79.56,81.68,75.34,76.35,76.35,19904148,0.24
9,2022-02-11,82.6,85.114,79.11,79.64,79.39,11637904,0.0
10,2022-02-04,81.3,86.37,80.52,82.44,82.1812,18982855,0.0
11,2022-01-28,81.68,84.62,80.14,82.77,82.5102,19573306,0.0
12,2022-01-21,83.05,84.44,81.57,83.11,82.8491,11486501,0.0
13,2022-01-14,83.81,87.68,82.46,84.18,83.9158,13246688,0.0
14,2022-01-07,87.2,88.22,83.73,84.36,84.0952,10598619,0.0
15,2021-12-31,85.73,87.569,85.59,87.07,86.7967,4459790,0.0
16,2021-12-23,83.25,85.5883,80.575,85.25,84.9824,5803068,0.0
17,2021-12-17,86.25,86.865,83.481,84.16,83.8958,12913778,0.0
18,2021-12-10,83.4,86.61,82.68,86.08,85.8098,11848642,0.0
19,2021-12-03,84.11,84.34,80.15,82.8,82.5401,11245296,0.0
20,2021-11-26,86.25,86.39,82.5,83.19,82.9289,5648452,0.0
21,2021-11-19,85.5,87.83,83.9374,86.26,85.9892,10997834,0.24
22,2021-11-12,82.11,85.65,81.3933,85.63,85.1243,11955693,0.0
23,2021-11-05,80.46,82.71,79.615,81.71,81.2274,9032408,0.0
24,2021-10-29,81.09,83.95,78.6,80.31,79.8357,15484004,0.0
25,2021-10-22,83.66,86.71,82.9733,85.63,85.1243,9776657,0.0
26,2021-10-15,83.23,84.69,81.08,84.1,83.6033,9870416,0.0
27,2021-10-08,82.11,85.11,81.2104,83.45,82.9572,10903335,0.0
28,2021-10-01,84.55,85.135,81.05,82.5,82.0128,10724965,0.0
29,2021-09-24,84.0,86.81,81.93,84.86,84.3588,18280191,0.0
30,2021-09-17,91.33,91.71,84.89,85.02,84.5179,21205053,0.0
31,2021-09-10,91.57,91.57,89.0418,90.55,90.0152,7473952,0.0
32,2021-09-03,92.01,92.84,90.955,91.82,91.2777,7564862,0.0
33,2021-08-27,90.54,92.679,89.655,92.01,91.4666,9381300,0.0
34,2021-08-20,90.75,92.1,89.31,90.02,89.4884,11504067,0.24
35,2021-08-13,89.82,91.03,88.94,90.66,89.8854,7056127,0.0
36,2021-08-06,89.68,91.82,89.68,90.14,89.3699,7825326,0.0
37,2021-07-30,89.94,90.1999,86.85,89.55,88.7849,10023536,0.0
38,2021-07-23,84.31,88.818,83.02,88.52,87.7637,9593413,0.0
39,2021-07-16,83.47,85.55,83.24,84.92,84.1945,8386005,0.0
40,2021-07-09,82.27,84.65,81.7,83.82,83.1039,5767138,0.0
41,2021-07-02,81.6,82.94,80.74,82.66,81.9538,8454859,0.0
42,2021-06-25,80.09,81.91,79.67,81.65,80.9524,9828114,0.0
43,2021-06-18,80.57,81.31,78.925,79.5,78.8208,13370100,0.0
44,2021-06-11,80.4,81.56,79.375,80.54,79.8519,9599414,0.0
45,2021-06-04,79.17,79.92,77.67,79.87,79.1876,7665184,0.0
46,2021-05-28,77.6,79.09,77.21,78.33,77.6608,10460496,0.0
47,2021-05-21,78.73,79.69,76.86,77.57,76.9073,19637334,0.24
48,2021-05-14,78.67,79.44,75.82,78.88,77.9642,16113028,0.0
49,2021-05-07,78.49,79.56,77.7,78.19,77.2822,13981717,0.0
50,2021-04-30,76.44,79.5,74.55,77.87,76.9659,21865773,0.0
51,2021-04-23,70.71,71.98,69.83,71.28,70.4524,14394257,0.0
52,2021-04-16,70.62,71.41,69.85,70.58,69.7606,10643446,0.0
53,2021-04-09,69.08,70.95,68.89,70.75,69.9286,15764585,0.0
54,2021-04-01,69.83,70.67,68.27,69.26,68.4559,10005440,0.0
55,2021-03-26,66.81,69.38,65.64,69.04,68.2384,7862332,0.0
56,2021-03-19,65.94,68.65,65.515,66.86,66.0837,11498983,0.0
57,2021-03-12,64.97,67.65,64.59,66.0,65.2337,10151900,0.0
58,2021-03-05,64.12,67.65,62.76,64.87,64.1169,13568719,0.0
59,2021-02-26,62.85,64.91,62.52,63.71,62.9703,13073911,0.0
60,2021-02-19,64.31,64.34,62.31,63.04,62.3081,11448090,0.0
61,2021-02-12,63.75,65.9,62.8852,63.93,63.1878,12833435,0.2
62,2021-02-05,65.99,66.78,62.63,63.93,62.9892,17340422,0.0
63,2021-01-29,64.0,65.99,61.28,64.65,63.6986,24072268,0.0
64,2021-01-22,66.0,66.5,63.2,64.88,63.9252,11718591,0.0
65,2021-01-15,66.22,66.8,63.51,65.53,64.5656,11328527,0.0
66,2021-01-08,67.55,68.02,64.7589,66.83,65.8465,8988429,0.0
67,2020-12-31,66.18,67.69,65.13,67.55,66.5559,4109018,0.0
68,2020-12-24,64.94,66.48,64.6,65.79,64.8218,5317302,0.0
69,2020-12-18,64.49,66.32,62.52,65.61,64.6444,11082122,0.0
70,2020-12-11,64.98,66.21,62.95,63.73,62.7921,10308399,0.0
71,2020-12-04,66.84,68.16,64.88,65.16,64.2011,8074618,0.0
72,2020-11-27,66.64,68.21,66.42,67.34,66.349,7934232,0.0
73,2020-11-20,66.22,67.98,65.6,66.32,65.344,9608103,0.2
74,2020-11-13,67.0,67.29,63.32,65.57,64.4103,9127704,0.0
75,2020-11-06,62.19,63.95,61.09,63.58,62.4555,8049236,0.0
76,2020-10-30,63.84,63.89,58.77,61.28,60.1962,11729489,0.0
77,2020-10-23,64.9,65.74,62.98,63.45,62.3278,10002183,0.0
78,2020-10-16,65.85,66.0,64.01,65.03,63.8799,6265969,0.0
79,2020-10-09,63.74,65.67,63.235,65.35,64.1942,7603111,0.0
80,2020-10-02,62.27,64.22,61.51,63.16,62.0429,8967295,0.0
81,2020-09-25,60.0,62.75,58.67,61.55,60.4614,10020232,0.0
82,2020-09-18,60.57,62.64,58.04,60.88,59.8033,12533205,0.0
83,2020-09-11,61.43,62.53,59.73,60.14,59.0763,10128932,0.0
84,2020-09-04,63.61,65.56,60.43,61.49,60.4025,11691721,0.0
85,2020-08-28,63.61,64.905,62.65,63.59,62.4653,8437826,0.0
