,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,113.4,118.94,113.2,116.11,116.11,3958693,0.0
1,2022-04-08,122.53,125.38,111.74,114.43,114.43,6310100,0.0
2,2022-04-01,126.37,132.73,118.49,121.51,121.51,6650337,0.0
3,2022-03-25,130.65,131.86,125.52,130.88,130.88,5295882,0.0
4,2022-03-18,123.47,130.92,117.03,130.87,130.87,6788929,0.0
5,2022-03-11,130.05,133.51,122.88,123.63,123.63,6462529,0.0
6,2022-03-04,136.09,139.35,127.24,129.63,129.63,6153047,0.0
7,2022-02-25,132.51,138.85,125.0,137.76,137.76,6072713,0.0
8,2022-02-18,127.65,137.24,127.19,133.2,133.2,6583146,0.0
9,2022-02-11,131.86,138.98,126.35,127.24,127.24,8924830,0.0
10,2022-02-04,129.76,144.31,125.625,131.45,131.45,11459497,0.0
11,2022-01-28,130.56,139.98,123.92,129.46,129.46,7841243,0.0
12,2022-01-21,146.0,148.77,134.08,134.31,134.31,5135448,0.0
13,2022-01-14,153.77,154.61,145.14,148.73,148.73,6660738,0.0
14,2022-01-07,156.87,163.12,154.5,154.69,154.69,5602518,0.0
15,2021-12-31,152.84,158.95,151.7,156.39,156.39,4169006,0.0
16,2021-12-23,146.0,153.505,144.15,152.07,152.07,3219059,0.0
17,2021-12-17,159.39,160.63,143.885,147.68,147.68,9663720,0.0
18,2021-12-10,150.65,163.95,147.8,159.23,159.23,7613198,0.0
19,2021-12-03,149.14,152.07,142.17,149.91,149.91,8197012,0.0
20,2021-11-26,155.98,156.58,146.77,148.11,148.11,4713046,0.0
21,2021-11-19,160.85,161.16,154.61,155.19,155.19,6261101,0.0
22,2021-11-12,156.75,161.9399,153.35,160.5,160.5,7331547,0.0
23,2021-11-05,168.49,178.5,152.25,156.07,156.07,13205632,0.0
24,2021-10-29,169.01,170.35,164.7,168.23,168.23,3980854,0.0
25,2021-10-22,164.67,171.5499,163.54,168.01,168.01,4121362,0.0
26,2021-10-15,165.15,167.49,158.74,165.87,165.87,4419499,0.0
27,2021-10-08,168.51,169.49,163.255,165.83,165.83,5299294,0.0
28,2021-10-01,172.92,176.92,165.26,169.26,169.26,5708525,0.0
29,2021-09-24,171.42,176.3699,167.89,174.05,174.05,4508149,0.0
30,2021-09-17,179.88,183.55,172.52,175.3,175.3,5170740,0.0
31,2021-09-10,185.16,185.795,176.29,179.3,179.3,3834314,0.0
32,2021-09-03,191.72,192.92,185.14,185.36,185.36,3885458,0.0
33,2021-08-27,182.97,191.41,180.81,190.73,190.73,3190967,0.0
34,2021-08-20,186.72,188.25,177.6,181.56,181.56,3614565,0.0
35,2021-08-13,194.33,194.95,186.33,188.36,188.36,3335527,0.0
36,2021-08-06,191.3,201.46,189.3128,195.02,195.02,5133753,0.0
37,2021-07-30,192.78,195.2,183.195,189.59,189.59,4163521,0.0
38,2021-07-23,185.0,194.115,182.5,193.09,193.09,3081659,0.0
39,2021-07-16,193.23,199.56,187.5,187.68,187.68,3996262,0.0
40,2021-07-09,195.81,197.0662,185.33,192.94,192.94,3412775,0.0
41,2021-07-02,184.75,198.95,184.19,195.67,195.67,5439270,0.0
42,2021-06-25,174.43,186.59,174.21,183.35,183.35,4332510,0.0
43,2021-06-18,183.91,186.26,173.16,174.19,174.19,5159838,0.0
44,2021-06-11,183.25,187.06,180.8,183.31,183.31,3608602,0.0
45,2021-06-04,185.45,187.38,180.58,184.76,184.76,3804070,0.0
46,2021-05-28,176.94,185.5,176.56,182.72,182.72,6035582,0.0
47,2021-05-21,168.78,179.87,165.19,176.56,176.56,5074337,0.0
48,2021-05-14,179.74,180.39,164.1,171.01,171.01,10844305,0.0
49,2021-05-07,190.062,190.062,177.285,184.18,184.18,7612383,0.0
50,2021-04-30,194.44,201.68,187.32,188.17,188.17,4296653,0.0
51,2021-04-23,190.62,195.2,180.73,193.92,193.92,4447700,0.0
52,2021-04-16,191.51,195.79,189.06,192.27,192.27,4175345,0.0
53,2021-04-09,198.24,199.94,188.3,191.86,191.86,5408341,0.0
54,2021-04-01,180.75,194.28,175.77,192.9,192.9,4599984,0.0
55,2021-03-26,182.58,185.29,166.75,182.5,182.5,4616294,0.0
56,2021-03-19,173.47,185.86,171.5,179.85,179.85,5984228,0.0
57,2021-03-12,171.2,177.16,162.61,172.59,172.59,6707362,0.0
58,2021-03-05,177.96,182.75,160.06,171.42,171.42,7353603,0.0
59,2021-02-26,176.705,179.8,164.2701,174.73,174.73,7502267,0.0
60,2021-02-19,178.19,180.74,170.43,179.39,179.39,5398247,0.0
61,2021-02-12,169.16,176.21,164.8836,176.0,176.0,8242051,0.0
62,2021-02-05,174.36,186.24,163.25,167.14,167.14,14771526,0.0
63,2021-01-29,183.29,184.05,163.02,170.88,170.88,7843257,0.0
64,2021-01-22,179.56,191.825,179.56,180.66,180.66,3429372,0.0
65,2021-01-15,178.42,186.14,176.34,177.29,177.29,5037003,0.0
66,2021-01-08,167.3,182.0,162.1137,179.4,179.4,5529387,0.0
67,2020-12-31,170.03,170.5,162.5871,166.27,166.27,3396780,0.0
68,2020-12-24,159.8346,169.106,158.0,167.11,167.11,4736081,0.0
69,2020-12-18,153.49,163.585,152.35,162.66,162.66,7265804,0.0
70,2020-12-11,166.47,170.9011,151.44,152.64,152.64,6899553,0.0
71,2020-12-04,152.15,165.53,151.52,165.35,165.35,6301898,0.0
72,2020-11-27,149.53,152.6,145.41,150.11,150.11,4583666,0.0
73,2020-11-20,147.84,151.21,141.8,147.39,147.39,4491899,0.0
74,2020-11-13,154.43,154.43,140.68,147.63,147.63,6105297,0.0
75,2020-11-06,129.89,152.37,126.52,147.27,147.27,8311496,0.0
76,2020-10-30,135.49,138.18,124.56,127.36,127.36,4414199,0.0
77,2020-10-23,136.5,138.67,132.76,135.7,135.7,3892056,0.0
78,2020-10-16,139.4,139.995,131.11,134.76,134.76,4599890,0.0
79,2020-10-09,132.37,140.69,130.4882,137.87,137.87,6111925,0.0
80,2020-10-02,128.04,135.21,126.58,130.57,130.57,6113488,0.0
81,2020-09-25,126.69,131.41,123.08,125.63,125.63,5697814,0.0
82,2020-09-18,125.24,131.81,122.0601,128.02,128.02,6875678,0.0
83,2020-09-11,114.21,126.4599,112.03,122.96,122.96,8041118,0.0
84,2020-09-04,128.64,135.89,114.61,118.89,118.89,7691219,0.0
85,2020-08-28,132.15,133.13,126.37,129.3,129.3,4532347,0.0
86,2020-08-21,131.4,135.3,129.45,130.67,130.67,5348155,0.0
87,2020-08-14,130.59,133.24,127.16,131.68,131.68,5037607,0.0
88,2020-08-07,129.02,136.0584,128.39,130.97,130.97,7284270,0.0
89,2020-07-31,113.91,130.86,112.65,128.15,128.15,12519700,0.0
90,2020-07-24,114.31,121.54,111.31,111.92,111.92,7702691,0.0
91,2020-07-17,113.119,116.37,107.69,113.98,113.98,5220938,0.0
92,2020-07-10,113.24,115.49,110.47,112.01,112.01,4584910,0.0
93,2020-07-02,107.24,111.55,104.57,110.3,110.3,4118224,0.0
94,2020-06-26,111.71,113.82,106.52,107.37,107.37,4976824,0.0
95,2020-06-19,106.56,116.21,105.61,111.8,111.8,7029300,0.0
96,2020-06-12,116.08,118.94,106.63,108.9,108.9,6487524,0.0
97,2020-06-05,104.74,118.16,103.7942,115.67,115.67,8681139,0.0
98,2020-05-29,104.53,105.85,100.11,104.74,104.74,5965399,0.0
99,2020-05-22,97.7081,104.47,96.74,101.54,101.54,7109954,0.0
100,2020-05-15,101.74,105.38,93.31,94.71,94.71,8549063,0.0
101,2020-05-08,93.0,108.78,91.75,103.0,103.0,11193705,0.0
102,2020-05-01,90.93,99.66,90.255,93.15,93.15,9636879,0.0
103,2020-04-24,85.0,89.97,80.8,89.89,89.89,7257515,0.0
104,2020-04-17,82.88,90.1,81.67,86.27,86.27,8479763,0.0
105,2020-04-09,77.05,88.56,75.41,83.11,83.11,9435291,0.0
106,2020-04-03,81.29,85.0573,72.93,73.44,73.44,8649454,0.0
107,2020-03-27,71.24,83.94,67.54,80.69,80.69,8593540,0.0
108,2020-03-20,72.9,80.78,70.0,70.85,70.85,11282818,0.0
109,2020-03-13,87.69,96.13,76.77,83.8,83.8,12969970,0.0
110,2020-03-06,101.09,104.93,92.33,94.36,94.36,12099593,0.0
111,2020-02-28,93.57,100.89,91.18,100.58,100.58,14463965,0.0
112,2020-02-21,103.69,106.38,97.75,98.19,98.19,8669133,0.0
113,2020-02-14,103.75,112.27,102.88,106.02,106.02,8388369,0.0
114,2020-02-07,106.16,111.77,104.86,105.15,105.15,9900156,0.0
