,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,262.08,265.2,254.225,258.4,258.4,3135969,0.0
1,2022-04-08,253.82,266.775,252.32,263.76,263.76,7550823,0.0
2,2022-04-01,245.54,264.4255,244.1119,255.21,255.21,7538646,0.0
3,2022-03-25,251.2,252.15,244.14,245.21,245.21,6305241,0.0
4,2022-03-18,234.86,252.63,233.41,251.53,251.53,8200703,0.0
5,2022-03-11,257.45,258.5,233.32,233.59,233.59,9076214,0.0
6,2022-03-04,264.73,266.795,253.52,258.49,258.49,8717175,0.0
7,2022-02-25,265.86,267.39,251.4335,267.27,267.27,7621631,0.6
8,2022-02-18,273.54,275.05,266.355,268.07,267.4696,5429271,0.0
9,2022-02-11,282.15,288.5,272.2,273.1,272.4883,6167438,0.0
10,2022-02-04,287.0,295.75,280.61,281.73,281.099,8368584,0.0
11,2022-01-28,287.25,299.99,273.78,287.7,287.0556,15110806,0.0
12,2022-01-21,300.71,309.2,292.76,292.85,292.194,8175337,0.0
13,2022-01-14,322.3,326.01,304.0,308.46,307.7691,7514668,0.0
14,2022-01-07,348.48,350.385,322.69,323.22,322.496,6647131,0.0
15,2021-12-31,339.26,354.15,339.26,352.16,351.3712,3188042,0.0
16,2021-12-23,337.61,342.13,329.0,338.38,337.6221,3438453,0.0
17,2021-12-17,346.77,349.72,338.1,340.44,339.6775,6610290,0.0
18,2021-12-10,345.3,348.12,339.08,346.46,345.684,4554510,0.0
19,2021-12-03,325.34,347.04,323.61,342.4,341.6331,9364797,0.0
20,2021-11-26,332.69,335.505,323.0,323.3,322.5758,3934368,0.0
21,2021-11-19,330.28,340.45,327.855,332.25,331.5058,5800440,0.55
22,2021-11-12,320.32,331.5,319.359,331.4,330.1087,4337391,0.0
23,2021-11-05,316.62,322.33,310.05,319.03,317.7869,5626106,0.0
24,2021-10-29,308.0,323.82,302.02,316.61,315.3764,7026847,0.0
25,2021-10-22,294.81,308.45,294.26,306.62,305.4253,3885361,0.0
26,2021-10-15,289.0,297.24,285.03,296.39,295.2352,5069148,0.0
27,2021-10-08,284.98,299.79,283.71,289.99,288.8601,7061564,0.0
28,2021-10-01,289.97,291.36,272.0125,285.04,283.9294,8452929,0.0
