,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,6.5,6.62,6.4801,6.53,6.53,31905987,0.0
1,2022-04-08,6.59,6.77,6.46,6.5,6.5,67040424,0.0
2,2022-04-01,6.53,6.7756,6.5,6.59,6.59,94613584,0.0
3,2022-03-25,6.25,6.59,6.2,6.56,6.56,86051933,0.0
4,2022-03-18,6.17,6.33,6.09,6.33,6.33,109934519,0.0
5,2022-03-11,6.14,6.57,6.02,6.19,6.19,178751517,0.0
6,2022-03-04,6.13,6.23,6.06,6.17,6.17,83869799,0.0
7,2022-02-25,6.04,6.21,5.89,6.16,6.16,89127270,0.0
8,2022-02-18,6.25,6.305,5.975,6.03,6.03,106115528,0.0
9,2022-02-11,6.78,6.88,6.2,6.22,6.22,99699716,0.272
10,2022-02-04,6.18,6.82,6.18,6.78,6.5007,161798378,0.0
11,2022-01-28,6.0,6.23,5.92,6.19,5.935,122772314,0.0
12,2022-01-21,6.13,6.19,6.0,6.01,5.7624,65296703,0.0
13,2022-01-14,6.19,6.41,6.09,6.18,5.9254,86337442,0.0
14,2022-01-07,6.325,6.4,6.115,6.2,5.9446,107517303,0.0
15,2021-12-31,6.45,6.52,6.35,6.35,6.0884,67552104,0.0
16,2021-12-23,6.33,6.46,6.29,6.43,6.1651,50017271,0.0
17,2021-12-17,6.28,6.45,6.2525,6.38,6.1172,86080180,0.0
18,2021-12-10,6.29,6.42,6.13,6.28,6.0213,89329053,0.0
19,2021-12-03,6.24,6.35,6.01,6.21,5.9542,114138074,0.0
20,2021-11-26,6.155,6.27,6.065,6.17,5.9158,61989369,0.0
21,2021-11-19,6.6,6.71,6.08,6.19,5.935,90096609,0.0
22,2021-11-12,6.42,6.67,6.37,6.61,6.3377,71782517,0.0
23,2021-11-05,6.09,6.65,6.08,6.41,6.1459,102028773,0.022
24,2021-10-29,6.05,6.14,5.94,6.09,5.8191,81970369,0.0
25,2021-10-22,6.01,6.23,5.96,6.07,5.8,82202525,0.0
26,2021-10-15,6.06,6.115,5.93,6.02,5.7522,70333094,0.0
27,2021-10-08,6.11,6.295,6.05,6.06,5.7905,75678941,0.0
28,2021-10-01,6.05,6.22,6.03,6.12,5.8478,76439890,0.0
29,2021-09-24,6.09,6.11,5.95,6.06,5.7905,74427127,0.0
30,2021-09-17,6.02,6.14,5.99,6.08,5.8096,98563526,0.0
31,2021-09-10,6.3,6.32,6.0,6.0,5.7331,51703706,0.0
32,2021-09-03,6.25,6.38,6.21,6.33,6.0485,66161838,0.0
33,2021-08-27,6.28,6.38,6.175,6.25,5.972,59232795,0.0
34,2021-08-20,6.01,6.305,6.01,6.3,6.0198,78923828,0.0
35,2021-08-13,6.4807,6.49,6.0,6.03,5.7618,128049260,0.0
36,2021-08-06,6.49,6.55,6.38,6.5,6.2109,62698767,0.0146
37,2021-07-30,6.45,6.82,6.28,6.47,6.1684,131033761,0.0
38,2021-07-23,6.39,6.64,6.3029,6.43,6.1302,77901483,0.0
39,2021-07-16,6.55,6.565,6.38,6.39,6.0921,62681889,0.0
40,2021-07-09,6.638,6.66,6.41,6.56,6.2542,40314193,0.0
41,2021-07-02,6.53,6.63,6.45,6.63,6.3209,65829847,0.0
42,2021-06-25,6.36,6.53,6.27,6.52,6.216,98785592,0.0
43,2021-06-18,6.73,6.88,6.26,6.3,6.0063,103154956,0.0
44,2021-06-11,6.47,7.29,6.455,6.74,6.4258,171116577,0.0
45,2021-06-04,6.3,6.5,6.25,6.47,6.1684,87680419,0.0
46,2021-05-28,6.05,6.33,5.95,6.25,5.9586,136084740,0.0
47,2021-05-21,5.9,6.01,5.76,5.95,5.6726,89485429,0.0
48,2021-05-14,6.04,6.08,5.75,5.91,5.6345,96900913,0.0
49,2021-05-07,6.1479,6.15,5.95,6.04,5.7584,91453193,0.0146
50,2021-04-30,6.34,6.43,5.96,6.1,5.8014,129535588,0.0
51,2021-04-23,6.34,6.43,6.23,6.38,6.0677,89995293,0.0
52,2021-04-16,6.3,6.34,6.16,6.31,6.0011,85112341,0.0
53,2021-04-09,6.27,6.38,6.25,6.35,6.0392,81807169,0.0
54,2021-04-01,6.19,6.28,6.08,6.27,5.9631,72954689,0.0
55,2021-03-26,6.17,6.42,6.08,6.22,5.9155,121463497,0.0
56,2021-03-19,6.18,6.4,6.06,6.08,5.7824,136640651,0.0
57,2021-03-12,5.88,6.2,5.86,6.16,5.8585,121718783,0.0
58,2021-03-05,5.89,6.04,5.76,5.89,5.6017,115025530,0.0
59,2021-02-26,6.005,6.095,5.81,5.85,5.5636,136009068,0.0
60,2021-02-19,6.09,6.11,5.92,6.01,5.7158,86734069,0.0
61,2021-02-12,6.14,6.19,5.99,6.09,5.7919,138699735,0.0146
62,2021-02-05,6.35,6.4,5.98,6.105,5.7922,155799771,0.0
63,2021-01-29,5.97,8.14,5.96,6.26,5.9392,343501278,0.0
64,2021-01-22,5.83,6.04,5.8,5.97,5.6641,94441676,0.0
65,2021-01-15,5.93,6.02,5.75,5.8,5.5028,158443330,0.0
66,2021-01-08,6.39,6.53,5.91,5.91,5.6072,195637112,0.0
67,2020-12-31,6.3,6.49,6.265,6.37,6.0436,60606339,0.0
68,2020-12-24,6.25,6.33,6.17,6.305,5.9819,59360942,0.0
69,2020-12-18,6.45,6.45,6.27,6.31,5.9867,99988330,0.0
70,2020-12-11,6.35,6.725,6.32,6.42,6.091,142294492,0.0
71,2020-12-04,6.53,6.6,6.33,6.34,6.0151,108217735,0.0
72,2020-11-27,6.44,6.66,6.34,6.55,6.2144,77658339,0.0
73,2020-11-20,6.34,6.48,6.26,6.42,6.091,93572531,0.0
74,2020-11-13,6.25,6.32,5.96,6.27,5.9487,125154334,0.0
75,2020-11-06,5.79,6.11,5.735,6.03,5.721,120241214,0.0146
76,2020-10-30,5.93,5.98,5.665,5.73,5.4233,117405151,0.0
77,2020-10-23,5.84,6.04,5.72,5.98,5.66,126791687,0.0
78,2020-10-16,5.87,5.98,5.74,5.84,5.5275,133785601,0.0
79,2020-10-09,5.59,6.03,5.52,5.84,5.5275,136232947,0.0
80,2020-10-02,5.2,5.66,5.19,5.56,5.2624,143282296,0.0
81,2020-09-25,5.07,5.2,4.95,5.12,4.846,138229905,0.0
82,2020-09-18,5.51,5.67,5.13,5.16,4.8838,201140223,0.0
83,2020-09-11,5.7,5.77,5.45,5.48,5.1867,119529768,0.0
84,2020-09-04,5.91,5.99,5.66,5.72,5.4139,134910451,0.0
85,2020-08-28,5.82,5.98,5.775,5.96,5.641,93330357,0.0
86,2020-08-21,5.9961,6.0156,5.75,5.82,5.5085,91626534,0.0
87,2020-08-14,5.94,6.2,5.9,5.98,5.66,98172093,0.0
88,2020-08-07,5.87,5.99,5.805,5.98,5.66,96683539,0.0133
89,2020-07-31,5.9,6.2,5.75,5.88,5.5528,154523177,0.0
90,2020-07-24,5.89,6.03,5.76,5.905,5.5764,103250989,0.0
91,2020-07-17,5.69,6.02,5.51,5.89,5.5623,135211232,0.0
92,2020-07-10,5.9,5.96,5.59,5.7,5.3828,103144508,0.0
93,2020-07-02,5.57,5.98,5.545,5.84,5.5151,110613909,0.0
94,2020-06-26,5.95,6.07,5.52,5.54,5.2317,162856418,0.0
95,2020-06-19,5.81,6.19,5.79,5.96,5.6284,136684734,0.0
96,2020-06-12,6.57,6.58,5.8,5.94,5.6095,149174089,0.0
97,2020-06-05,5.82,6.73,5.81,6.51,6.1478,204721683,0.0
98,2020-05-29,5.44,5.86,5.32,5.82,5.4962,187892055,0.0
99,2020-05-22,5.49,5.64,5.06,5.31,5.0145,220674344,0.0
100,2020-05-15,5.7,5.71,5.01,5.34,5.0429,183102240,0.0
101,2020-05-08,5.75,5.83,5.5,5.75,5.4301,141578464,0.0133
102,2020-05-01,5.51,6.03,5.5,5.8,5.4641,136287532,0.0
103,2020-04-24,5.2,5.57,4.97,5.51,5.1909,139533019,0.0
104,2020-04-17,5.22,5.44,4.95,5.29,4.9836,104701822,0.0
105,2020-04-09,4.72,5.38,4.68,5.25,4.946,91657962,0.0
106,2020-04-03,4.96,5.12,4.41,4.48,4.2205,134612000,0.0
107,2020-03-27,4.38,5.35,4.11,4.93,4.6445,187754147,0.0
108,2020-03-20,5.24,5.73,4.41,4.44,4.1829,249301352,0.0
109,2020-03-13,6.16,6.34,5.28,5.9,5.5583,200008240,0.0
110,2020-03-06,6.28,6.7,6.26,6.44,6.067,170711484,0.0
111,2020-02-28,7.16,7.22,6.2,6.34,5.9728,218103164,0.0
112,2020-02-21,7.19,7.4,7.18,7.24,6.8207,68493644,0.0
113,2020-02-14,7.13,7.25,7.12,7.21,6.7924,68312523,0.0133
114,2020-02-07,7.1,7.3,7.08,7.11,6.6858,91821281,0.0
115,2020-01-31,7.06,7.22,7.02,7.07,6.6482,94584922,0.0
116,2020-01-24,7.15,7.21,7.05,7.11,6.6858,78233581,0.0
117,2020-01-17,7.0,7.23,6.96,7.17,6.7422,85143226,0.0
118,2020-01-10,7.05,7.16,6.98,7.0,6.5824,94894650,0.0
119,2020-01-03,7.14,7.19,7.01,7.09,6.667,64720658,0.0
120,2019-12-27,7.16,7.2,7.07,7.135,6.7093,37746582,0.0
121,2019-12-20,6.93,7.18,6.89,7.18,6.7516,105754158,0.0
122,2019-12-13,6.83,6.96,6.82,6.92,6.5071,80963625,0.0
123,2019-12-06,6.97,6.98,6.7,6.83,6.4225,116681146,0.0
124,2019-11-29,6.83,7.0,6.77,6.98,6.5636,79220010,0.0
125,2019-11-22,6.92,7.0,6.8,6.81,6.4037,127635346,0.0
126,2019-11-15,6.82,7.0,6.81,6.92,6.5071,90389254,0.0
127,2019-11-08,6.85,6.88,6.75,6.85,6.4413,82151627,0.0133
128,2019-11-01,6.45,6.84,6.29,6.82,6.4006,120034995,0.0
129,2019-10-25,6.44,6.5,6.32,6.44,6.044,84324590,0.0
130,2019-10-18,6.31,6.5,6.25,6.43,6.0346,73765359,0.0
131,2019-10-11,6.36,6.41,6.19,6.31,5.9219,71807955,0.0
132,2019-10-04,6.25,6.45,6.17,6.38,5.9876,82447906,0.0
133,2019-09-27,6.29,6.37,6.17,6.21,5.8281,70089860,0.0
134,2019-09-20,6.35,6.49,6.23,6.26,5.875,120175334,0.0
135,2019-09-13,6.26,6.5,6.21,6.39,5.997,95113330,0.0
136,2019-09-06,6.13,6.31,6.1,6.25,5.8656,75933249,0.0
137,2019-08-30,6.05,6.24,6.02,6.17,5.7906,82590257,0.0
138,2019-08-23,6.14,6.22,5.96,5.99,5.6216,77408087,0.0
139,2019-08-16,6.08,6.15,5.96,6.08,5.7061,83164223,0.0
140,2019-08-09,6.27,6.28,5.94,6.12,5.7436,112251321,0.0121
141,2019-08-02,6.22,6.38,6.1,6.34,5.9385,144056486,0.0
142,2019-07-26,6.09,6.23,6.01,6.22,5.8261,103382118,0.0
143,2019-07-19,6.06,6.1,5.97,6.06,5.6762,90112582,0.0
144,2019-07-12,5.88,6.1,5.88,6.07,5.6856,117419579,0.0
145,2019-07-05,5.63,5.94,5.61,5.91,5.5357,81090784,0.0
146,2019-06-28,5.62,5.63,5.5,5.58,5.2266,118871294,0.0
147,2019-06-21,5.55,5.78,5.52,5.6,5.2453,141477309,0.0
148,2019-06-14,5.38,5.61,5.36,5.56,5.2079,114367049,0.0
149,2019-06-07,5.31,5.44,5.23,5.31,4.9737,116122598,0.0
150,2019-05-31,5.41,5.46,5.24,5.31,4.9737,122689588,0.0
151,2019-05-24,5.62,5.69,5.33,5.41,5.0674,113478760,0.0
