,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,411.23,412.43,390.76,396.31,396.31,6151021,0.0
1,2022-04-08,409.97,417.37,406.25,413.09,413.09,7677046,0.0
2,2022-04-01,414.35,423.545,405.64,407.88,407.88,10289920,0.0
3,2022-03-25,405.59,416.53,401.86,413.47,413.47,10748445,0.0
4,2022-03-18,383.53,412.0,373.18,409.94,409.94,11855162,0.0
5,2022-03-11,406.83,407.9899,373.84,379.68,379.68,15969598,0.0
6,2022-03-04,379.0,408.8,372.13,407.55,407.55,28759355,0.0
7,2022-02-25,376.37,384.76,363.54,380.89,380.89,13428722,0.0
8,2022-02-18,386.5,390.0,375.45,378.67,378.67,8878704,0.0
9,2022-02-11,414.09,417.65,386.25,387.66,387.66,11862740,0.77
10,2022-02-04,406.65,423.41,405.47,414.39,413.6081,7483957,0.0
11,2022-01-28,409.48,418.85,390.95,406.62,405.8527,9897449,0.0
12,2022-01-21,426.21,434.775,414.35,416.93,416.1433,5936563,0.0
13,2022-01-14,439.1,450.59,427.28,432.36,431.5441,8323797,0.0
14,2022-01-07,472.83,472.83,446.13,446.75,445.907,6352654,0.0
15,2021-12-31,478.24,481.44,469.02,471.93,471.0395,3909553,0.0
16,2021-12-23,462.36,477.42,454.0,473.74,472.8461,4549862,0.0
17,2021-12-17,475.13,484.21,464.84,467.64,466.7576,7716068,0.0
18,2021-12-10,460.19,473.86,451.61,473.67,472.7762,5178331,0.0
19,2021-12-03,459.7,467.1,445.33,455.82,454.9599,7650096,0.0
20,2021-11-26,464.24,466.09,451.5,454.53,453.6723,4149662,0.77
21,2021-11-19,453.5,472.16,449.89,461.31,459.6759,9755411,0.0
22,2021-11-12,464.14,465.72,448.8,453.36,451.7541,5498554,0.0
23,2021-11-05,474.12,476.17,452.49,460.29,458.6595,6401912,0.0
24,2021-10-29,450.14,475.66,443.71,474.16,472.4804,8138150,0.0
25,2021-10-22,444.01,453.135,435.89,450.49,448.8942,5709010,0.0
26,2021-10-15,427.79,446.48,424.54,443.92,442.3475,5738979,0.0
27,2021-10-08,426.43,436.705,414.935,429.72,428.1978,4551684,0.0
28,2021-10-01,451.41,451.59,420.03,428.36,426.8426,6377711,0.0
29,2021-09-24,440.61,455.4,439.3,453.08,451.4751,4580979,0.0
30,2021-09-17,453.83,456.59,443.83,446.42,444.8387,5661967,0.0
31,2021-09-10,451.77,456.63,443.04,450.24,448.6451,4026083,0.0
32,2021-09-03,440.43,454.16,438.001,452.08,450.4786,4707230,0.0
33,2021-08-27,439.96,442.39,433.36,438.3,436.7474,3682910,0.77
34,2021-08-20,440.83,446.29,422.79,437.52,435.2048,6938619,0.0
35,2021-08-13,440.97,442.06,431.1,441.74,439.4025,5095074,0.0
36,2021-08-06,430.6,444.64,428.49,441.58,439.2434,8426082,0.0
37,2021-07-30,416.64,429.93,407.92,428.72,426.4514,7861084,0.0
