,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,267.51,268.43,259.5,263.64,263.64,2857314,0.0
1,2022-04-08,267.72,271.47,257.64,269.47,269.47,10007381,0.0
2,2022-04-01,267.27,274.13,264.785,269.05,269.05,5580150,0.695
3,2022-03-25,266.96,268.49,254.825,266.0,265.3149,6311971,0.0
4,2022-03-18,250.23,267.79,243.3,267.34,266.6514,8148981,0.0
5,2022-03-11,265.42,266.88,243.85,247.77,247.1318,8412661,0.0
6,2022-03-04,262.11,271.39,259.325,267.1,266.412,7093419,0.0
7,2022-02-25,247.56,266.08,246.0,265.79,265.1054,6971801,0.0
8,2022-02-18,251.52,260.48,246.79,248.14,247.5009,6833658,0.0
9,2022-02-11,248.84,262.5,246.06,251.65,251.0018,6936408,0.0
10,2022-02-04,246.99,255.34,243.89,250.95,250.3036,7744946,0.0
11,2022-01-28,250.62,254.96,237.45,248.39,247.7502,9203869,0.0
12,2022-01-21,263.35,265.25,252.435,254.68,254.024,6759694,0.0
13,2022-01-14,262.2,271.87,258.18,266.71,266.023,5854754,0.0
14,2022-01-07,267.41,280.43,262.76,263.57,262.8911,8034101,0.0
15,2021-12-31,269.35,273.82,267.29,267.42,266.7312,3383673,0.695
16,2021-12-23,248.03,269.85,242.52,268.25,266.8739,5758094,0.0
17,2021-12-17,260.41,261.6,249.22,251.22,249.9312,7564465,0.0
18,2021-12-10,249.99,264.38,249.48,260.2,258.8652,6359127,0.0
19,2021-12-03,246.53,249.67,236.09,246.87,245.6036,10605490,0.0
20,2021-11-26,264.21,264.48,243.48,243.48,242.231,5530322,0.0
21,2021-11-19,265.04,266.33,255.77,263.69,262.3373,6154042,0.0
22,2021-11-12,277.85,277.99,261.8,264.34,262.9839,4980874,0.0
23,2021-11-05,266.13,278.42,266.07,276.16,274.7433,5746979,0.0
24,2021-10-29,276.42,276.72,258.0,266.07,264.7051,5889085,0.0
25,2021-10-22,263.0,277.57,259.755,275.73,274.3155,4750806,0.0
26,2021-10-15,262.61,266.5,256.05,266.32,264.9538,6052540,0.0
27,2021-10-08,266.26,269.37,258.94,263.68,262.3273,4900907,0.0
28,2021-10-01,275.45,276.54,262.37,268.22,266.844,4700071,0.63
29,2021-09-24,269.4,277.56,265.235,276.64,274.5751,4403459,0.0
30,2021-09-17,275.05,278.67,269.29,273.03,270.9921,7469876,0.0
31,2021-09-10,277.16,281.16,273.68,273.86,271.8159,3340730,0.0
32,2021-09-03,274.02,280.275,273.05,276.65,274.585,4441596,0.0
33,2021-08-27,266.93,274.778,263.45,273.42,271.3792,6063030,0.0
34,2021-08-20,262.23,267.87,260.45,265.28,263.2999,6021475,0.0
35,2021-08-13,262.1,263.85,251.89,263.15,261.1858,7075965,0.0
36,2021-08-06,271.65,273.54,260.89,262.56,260.6002,5923212,0.0
37,2021-07-30,261.58,275.15,259.835,270.94,268.9177,6995042,0.0
38,2021-07-23,254.32,262.88,247.61,262.67,260.7094,6827723,0.0
39,2021-07-16,262.9,265.56,255.75,257.59,255.6673,5483901,0.0
40,2021-07-09,265.4,265.95,260.28,264.43,262.4563,3882142,0.0
41,2021-07-02,264.25,265.76,258.495,265.42,263.4389,4626723,0.63
42,2021-06-25,255.91,264.44,254.695,263.0,260.407,6328416,0.0
43,2021-06-18,256.01,260.235,254.17,254.91,252.3968,5273926,0.0
44,2021-06-11,252.78,257.11,246.01,255.79,253.2681,4727891,0.0
45,2021-06-04,260.0,260.0,246.22,251.83,249.3471,4403088,0.0
46,2021-05-28,257.14,259.46,249.12,255.27,252.7532,6661914,0.0
47,2021-05-21,251.86,259.1,248.6433,255.65,253.1295,4874716,0.0
48,2021-05-14,255.69,258.83,244.13,252.95,250.4561,5887221,0.0
49,2021-05-07,263.53,264.355,250.19,254.78,252.2681,5794030,0.0
50,2021-04-30,267.78,267.98,257.87,262.63,260.0407,5448510,0.0
51,2021-04-23,256.68,268.04,254.51,267.0,264.3676,4881614,0.0
52,2021-04-16,252.0,260.0,250.6801,257.13,254.5949,5025295,0.0
53,2021-04-09,244.93,253.46,244.6245,253.32,250.8224,5689346,0.0
54,2021-04-01,239.42,245.23,238.44,242.95,240.5547,4595270,0.63
55,2021-03-26,229.79,241.29,228.45,240.98,237.9874,5552481,0.0
56,2021-03-19,241.4,242.09,227.84,230.0,227.1437,7491996,0.0
57,2021-03-12,239.7,242.51,235.82,240.76,237.7701,5003914,0.0
58,2021-03-05,245.3,247.8278,232.58,240.03,237.0492,5753790,0.0
59,2021-02-26,240.42,250.02,238.74,242.69,239.6761,5762370,0.0
60,2021-02-19,247.43,248.3,241.085,242.09,239.0836,7850669,0.0
