,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,267.59,283.81,263.06,280.33,280.33,4564869,0.0
1,2022-04-08,305.83,318.64,265.11,272.02,272.02,12252246,0.0
2,2022-04-01,286.81,315.0,286.74,305.75,305.75,7976727,0.0
3,2022-03-25,291.29,306.565,274.8,284.21,284.21,7376847,0.0
4,2022-03-18,244.59,295.4,236.53,294.73,294.73,11923729,0.0
5,2022-03-11,270.84,273.979,232.6896,246.39,246.39,11486443,0.0
6,2022-03-04,300.0,321.76,266.59,267.61,267.61,8901709,0.0
7,2022-02-25,292.18,305.36,268.2,305.03,305.03,6673934,0.0
8,2022-02-18,320.77,335.84,297.04,298.07,298.07,7670427,0.0
9,2022-02-11,319.85,352.92,307.76,321.76,321.76,8168580,0.0
10,2022-02-04,319.08,329.26,301.01,320.91,320.91,10985552,0.0
11,2022-01-28,277.485,329.12,273.4222,319.17,319.17,19737309,0.0
12,2022-01-21,284.64,309.78,281.18,283.0,283.0,7940370,0.0
13,2022-01-14,295.5,324.13,284.365,297.39,297.39,14077492,0.0
14,2022-01-07,380.43,380.63,294.25,303.71,303.71,13838691,0.0
15,2021-12-31,390.59,399.103,376.44,381.29,381.29,3425009,0.0
16,2021-12-23,336.76,395.0,333.03,387.92,387.92,7516924,0.0
17,2021-12-17,372.2,381.645,333.34,350.96,350.96,8747965,0.0
18,2021-12-10,343.5,390.92,332.01,372.62,372.62,6839589,0.0
19,2021-12-03,395.6,404.68,339.97,349.5,349.5,8373273,0.0
20,2021-11-26,426.85,428.24,376.07,391.54,391.54,4532265,0.0
21,2021-11-19,445.91,448.0,429.8,429.86,429.86,3692240,0.0
22,2021-11-12,441.01,453.0,429.63,445.12,445.12,3450953,0.0
23,2021-11-05,455.2,461.45,436.28,440.22,440.22,4412290,0.0
24,2021-10-29,426.14,483.13,410.02,458.13,458.13,7077700,0.0
25,2021-10-22,407.73,425.295,404.14,423.2,423.2,4115798,0.0
26,2021-10-15,387.15,415.88,385.35,409.74,409.74,2929632,0.0
27,2021-10-08,390.76,402.06,376.0,390.74,390.74,4996566,0.0
28,2021-10-01,405.5,409.77,375.5,392.22,392.22,6194506,0.0
29,2021-09-24,395.22,420.23,392.1394,413.94,413.94,6182686,0.0
30,2021-09-17,379.77,409.6,371.84,404.6,404.6,5928534,0.0
31,2021-09-10,383.39,385.94,377.315,379.97,379.97,3471716,0.0
32,2021-09-03,360.0,387.475,360.0,384.59,384.59,4168932,0.0
33,2021-08-27,342.23,359.31,342.12,358.34,358.34,3948343,0.0
34,2021-08-20,336.83,346.64,324.72,346.0,346.0,3761213,0.0
35,2021-08-13,336.28,340.77,325.75,337.94,337.94,4604248,0.0
36,2021-08-06,324.2,343.15,313.4041,334.51,334.51,6522001,0.0
37,2021-07-30,270.87,349.5,259.99,325.12,325.12,9493205,0.0
38,2021-07-23,259.0,273.0,257.63,271.29,271.29,3961340,0.0
39,2021-07-16,271.07,275.67,256.51,260.64,260.64,5528964,0.0
40,2021-07-09,262.99,273.34,260.23,268.64,268.64,3188927,0.0
41,2021-07-02,265.22,267.58,255.3,262.72,262.72,5523369,0.0
42,2021-06-25,264.51,272.13,258.39,264.69,264.69,5407929,0.0
43,2021-06-18,245.0,267.56,243.1101,266.56,266.56,7455608,0.0
44,2021-06-11,224.56,244.66,221.46,244.09,244.09,5285973,0.0
45,2021-06-04,233.49,234.65,221.09,225.88,225.88,3705227,0.0
46,2021-05-28,224.21,239.2638,221.02,233.28,233.28,7606580,0.0
47,2021-05-21,213.9,227.15,208.21,223.65,223.65,10147936,0.0
48,2021-05-14,216.57,229.5,207.83,214.99,214.99,10370329,0.0
49,2021-05-07,237.79,238.31,214.61,219.63,219.63,6810086,0.0
50,2021-04-30,230.68,241.0,224.48,237.56,237.56,6553175,0.0
51,2021-04-23,232.915,236.0,222.0,230.82,230.82,4166357,0.0
52,2021-04-16,225.11,244.93,224.63,234.76,234.76,7693617,0.0
53,2021-04-09,224.33,227.185,217.27,225.4,225.4,6942618,0.0
54,2021-04-01,210.75,228.0,198.8,223.06,223.06,7718727,0.0
55,2021-03-26,220.62,225.69,200.42,212.94,212.94,7517118,0.0
56,2021-03-19,228.15,241.04,215.22,219.09,219.09,6708878,0.0
57,2021-03-12,226.0,238.27,222.48,229.26,229.26,7133015,0.0
58,2021-03-05,242.48,254.18,218.63,228.21,228.21,9693065,0.0
59,2021-02-26,251.33,254.49,224.09,237.7,237.7,7598322,0.0
60,2021-02-19,253.59,262.4,243.45,258.41,258.41,5322285,0.0
61,2021-02-12,245.0,257.01,242.0,252.97,252.97,4814361,0.0
62,2021-02-05,231.21,249.5,229.02,243.8,243.8,6207736,0.0
63,2021-01-29,238.99,240.26,208.62,231.13,231.13,11087330,0.0
64,2021-01-22,225.0066,237.555,225.0066,235.45,235.45,5189750,0.0
65,2021-01-15,234.79,235.8,220.63,222.93,222.93,6107491,0.0
66,2021-01-08,234.5,238.0,223.93,235.48,235.48,5873215,0.0
67,2020-12-31,245.59,246.615,229.8637,233.87,233.87,3188945,0.0
68,2020-12-24,246.69,250.01,239.02,241.79,241.79,4718948,0.0
69,2020-12-18,233.77,250.03,229.44,247.78,247.78,12783886,0.0
70,2020-12-11,224.11,235.17,220.36,232.01,232.01,5815702,0.0
71,2020-12-04,224.0,234.44,218.9,225.01,225.01,7564535,0.0
72,2020-11-27,209.49,224.0,205.67,224.0,224.0,6966701,0.0
73,2020-11-20,191.52,211.55,187.71,208.43,208.43,12585136,0.0
74,2020-11-13,194.64,199.16,176.42,192.82,192.82,8472594,0.0
75,2020-11-06,191.62,203.18,180.11,198.18,198.18,10524786,0.0
76,2020-10-30,207.5,213.3,187.25,191.62,191.62,11054884,0.0
77,2020-10-23,208.4524,216.295,201.44,208.49,208.49,10578932,0.0
78,2020-10-16,199.95,212.97,185.16,207.45,207.45,12823623,0.0
79,2020-10-09,186.0,199.87,185.27,198.85,198.85,6218395,0.0
80,2020-10-02,182.02,189.0,178.7,184.79,184.79,8452223,0.0
81,2020-09-25,168.91,183.3299,168.5937,181.29,181.29,4618865,0.0
82,2020-09-18,169.1366,173.57,164.16,171.14,171.14,5618748,0.0
83,2020-09-11,170.0,175.25,164.87,167.63,167.63,5759111,0.0
84,2020-09-04,190.25,199.4999,170.5,175.54,175.54,8621006,0.0
85,2020-08-28,167.32,193.3008,166.81,192.43,192.43,9039160,0.0
86,2020-08-21,163.16,169.03,162.2,166.64,166.64,7242924,0.0
87,2020-08-14,170.8,171.5,160.0134,162.69,162.69,8466512,0.0
88,2020-08-07,176.345,181.46,169.36,170.93,170.93,11204934,0.0
89,2020-07-31,185.8,190.69,170.14,176.65,176.65,13162535,0.0
90,2020-07-24,174.9,196.33,174.3,184.34,184.34,9547211,0.0
91,2020-07-17,194.06,194.5,169.11,172.86,172.86,11313400,0.0
92,2020-07-10,193.0,198.41,189.05,192.0,192.0,7424000,0.0
93,2020-07-02,180.02,191.32,172.27,190.08,190.08,5882100,0.0
94,2020-06-26,174.53,187.71,173.8,181.01,181.01,10217043,0.0
95,2020-06-19,170.91,180.8142,167.19,172.64,172.64,9512688,0.0
96,2020-06-12,173.57,180.53,169.57,171.62,171.62,6977391,0.0
97,2020-06-05,184.02,191.72,163.72,174.26,174.26,11814589,0.0
98,2020-05-29,182.62,186.12,160.2,185.3,185.3,10041490,0.0
99,2020-05-22,187.77,189.5,179.2001,182.6,182.6,7102015,0.0
100,2020-05-15,176.29,190.2099,170.73,186.5,186.5,9288858,0.0
101,2020-05-08,151.72,182.5965,151.4,176.19,176.19,12720124,0.0
102,2020-05-01,154.79,158.9793,146.0601,154.59,154.59,9631426,0.0
103,2020-04-24,151.43,155.9799,143.8663,152.32,152.32,7176604,0.0
104,2020-04-17,140.01,153.04,134.76,152.25,152.25,9698193,0.0
105,2020-04-09,135.68,143.92,129.75,137.95,137.95,8348313,0.0
106,2020-04-03,144.85,148.4,126.54,129.96,129.96,9207076,0.0
107,2020-03-27,125.9,149.7,120.91,142.25,142.25,10571202,0.0
108,2020-03-20,118.48,134.38,110.0102,125.9,125.9,11764524,0.0
109,2020-03-13,134.58,137.33,117.2263,127.94,127.94,13406891,0.0
110,2020-03-06,147.57,155.3,139.4601,144.36,144.36,10347090,0.0
111,2020-02-28,138.52,149.94,136.0,144.96,144.96,10247698,0.0
112,2020-02-21,154.05,156.12,143.28,145.93,145.93,5714071,0.0
113,2020-02-14,148.1,155.0,146.61,154.42,154.42,7073844,0.0
114,2020-02-07,146.9,153.7,144.52,148.0,148.0,6460362,0.0
115,2020-01-31,143.5,151.87,141.99,147.0,147.0,9217877,0.0
116,2020-01-24,132.2,150.71,130.33,146.79,146.79,12898473,0.0
117,2020-01-17,138.59,140.49,132.42,132.85,132.85,6479922,0.0
118,2020-01-10,122.56,137.45,122.0518,133.9,133.9,9993685,0.0
119,2020-01-03,121.12,123.84,117.2079,123.04,123.04,4661936,0.0
120,2019-12-27,121.32,123.34,119.38,121.12,121.12,2178101,0.0
121,2019-12-20,120.0,123.3,117.7903,121.09,121.09,6655776,0.0
122,2019-12-13,122.89,124.75,113.91,119.81,119.81,7857418,0.0
123,2019-12-06,126.75,126.865,116.0942,123.36,123.36,7251010,0.0
124,2019-11-29,125.59,130.98,125.55,127.11,127.11,3923823,0.0
125,2019-11-22,122.0,129.71,121.6396,125.98,125.98,7052855,0.0
126,2019-11-15,119.18,123.0,117.522,122.73,122.73,4418888,0.0
127,2019-11-08,123.02,123.97,112.83,118.95,118.95,6938045,0.0
128,2019-11-01,116.83,126.09,114.26,122.36,122.36,10303391,0.0
129,2019-10-25,117.05,118.58,107.0,113.82,113.82,13695706,0.0
130,2019-10-18,127.03,130.26,109.42,116.86,116.86,19607852,0.0
131,2019-10-11,131.01,133.69,123.86,127.48,127.48,7214072,0.0
132,2019-10-04,122.66,132.17,120.84,131.87,131.87,7197410,0.0
133,2019-09-27,136.7,138.2,121.59,123.03,123.03,8752641,0.0
134,2019-09-20,125.81,138.47,125.17,136.87,136.87,6709675,0.0
135,2019-09-13,132.31,134.045,119.6521,127.19,127.19,11019015,0.0
136,2019-09-06,132.92,137.59,126.15,132.21,132.21,7774207,0.0
137,2019-08-30,141.79,145.055,130.84,134.51,134.51,6032224,0.0
138,2019-08-23,143.0,146.7,138.54,141.05,141.05,4430968,0.0
139,2019-08-16,144.56,147.005,136.89,142.57,142.57,4577972,0.0
140,2019-08-09,135.41,147.59,131.26,145.99,145.99,7567276,0.0
141,2019-08-02,144.0,145.95,134.11,141.2,141.2,9235127,0.0
142,2019-07-26,134.3,149.8,130.78,146.04,146.04,9695424,0.0
143,2019-07-19,139.46,140.48,134.1025,134.16,134.16,4726640,0.0
144,2019-07-12,134.45,143.6799,133.61,138.555,138.555,4890035,0.0
145,2019-07-05,133.2,135.25,129.6,135.11,135.11,3663936,0.0
146,2019-06-28,134.0,134.0,123.43,130.84,130.84,7176461,0.0
147,2019-06-21,130.11,137.45,128.15,132.87,132.87,4628335,0.0
148,2019-06-14,133.45,137.78,126.52,129.91,129.91,6503236,0.0
149,2019-06-07,126.24,132.28,115.87,131.43,131.43,7199726,0.0
150,2019-05-31,129.56,132.87,122.57,125.88,125.88,4763515,0.0
151,2019-05-24,125.85,131.0,123.7983,129.52,129.52,7697238,0.0
152,2019-05-17,124.71,131.99,120.63,129.15,129.15,7966774,0.0
153,2019-05-10,107.0,129.97,106.11,128.87,128.87,15014309,0.0
154,2019-05-03,107.93,111.7,106.8,110.41,110.41,6830108,0.0
155,2019-04-26,100.72,108.34,100.2829,108.21,108.21,10447940,0.0
156,2019-04-18,114.01,117.06,100.25,101.94,101.94,14909286,0.0
157,2019-04-12,111.28,115.67,108.2944,112.68,112.68,6685702,0.0
158,2019-04-05,114.03,116.7,106.75,111.33,111.33,6944025,0.0
159,2019-03-29,109.33,112.95,105.2001,112.39,112.39,6076598,0.0
160,2019-03-22,110.12,115.88,109.66,109.83,109.83,5232622,0.0
161,2019-03-15,104.76,112.58,104.76,110.27,110.27,10809413,0.0
162,2019-03-08,111.58,111.58,99.77,104.25,104.25,8429957,0.0
