,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,344.83,346.64,335.37,338.1,338.1,806958,0.0
1,2022-04-08,354.42,356.72,334.85,346.47,346.47,1383478,0.0
2,2022-04-01,339.72,356.68,337.59,354.82,354.82,1402524,0.0
3,2022-03-25,348.5,352.9,322.2,339.4,339.4,1621879,0.0
4,2022-03-18,336.46,350.3,332.339,349.93,349.93,1569119,0.0
5,2022-03-11,349.83,352.87,334.55,335.99,335.99,2057326,0.0
6,2022-03-04,340.49,350.33,330.0,349.98,349.98,1472784,0.34
7,2022-02-25,315.19,344.1825,313.63,343.01,342.6771,1539411,0.0
8,2022-02-18,321.32,327.96,314.97,315.78,315.4735,1113235,0.0
9,2022-02-11,313.13,333.87,309.7,320.63,320.3188,1353810,0.0
10,2022-02-04,298.75,316.08,296.59,313.29,312.9859,1697899,0.0
11,2022-01-28,315.8,318.895,291.04,299.85,299.559,1923383,0.0
12,2022-01-21,322.16,337.8975,318.55,323.2,322.8863,1691493,0.0
13,2022-01-14,315.95,337.78,309.61,325.75,325.4338,1913836,0.0
14,2022-01-07,328.48,340.42,312.56,316.42,316.1129,1663900,0.0
15,2021-12-31,328.06,335.98,325.69,328.48,328.1612,962044,0.0
16,2021-12-23,316.77,329.73,311.185,327.38,327.0623,1415593,0.0
17,2021-12-17,317.6,325.93,313.2,321.5,321.188,2292653,0.0
18,2021-12-10,309.37,329.4,308.75,321.29,320.9782,2012090,0.0
19,2021-12-03,309.23,312.36,289.0,305.22,304.9238,2662377,0.0
20,2021-11-26,320.01,326.89,304.57,305.15,304.8538,1709222,0.0
21,2021-11-19,339.99,342.475,318.19,318.83,318.5206,2235965,0.0
22,2021-11-12,355.14,355.245,328.395,340.12,339.7899,2072544,0.34
23,2021-11-05,357.08,370.2,342.78,353.31,352.6146,2100070,0.0
24,2021-10-29,376.22,381.97,343.15,356.94,356.2375,2328903,0.0
25,2021-10-22,361.18,381.23,354.88,376.51,375.7689,1002091,0.0
26,2021-10-15,363.52,370.0,350.23,363.2,362.4851,1488332,0.0
27,2021-10-08,381.42,383.11,359.37,362.91,362.1957,1384087,0.0
28,2021-10-01,386.1,391.1,373.51,383.27,382.5156,1089879,0.0
29,2021-09-24,379.26,391.39,376.93,388.09,387.3262,740683,0.0
30,2021-09-17,375.47,390.71,373.205,385.57,384.8111,912949,0.0
31,2021-09-10,397.37,405.895,372.05,372.42,371.687,1211366,0.0
32,2021-09-03,388.41,405.61,388.41,398.43,397.6458,1211514,0.0
33,2021-08-27,378.71,392.76,378.26,388.22,387.4559,1123759,0.0
34,2021-08-20,366.31,380.19,364.55,377.07,376.3278,985018,0.0
35,2021-08-13,381.53,381.53,359.57,366.08,365.3595,1350464,0.34
36,2021-08-06,399.18,399.18,370.05,380.88,379.7776,1273139,0.0
37,2021-07-30,396.19,405.97,390.33,397.43,396.2797,1555756,0.0
38,2021-07-23,378.39,398.35,370.88,397.91,396.7583,1861521,0.0
39,2021-07-16,422.02,424.35,364.241,390.32,389.1903,3634296,0.0
40,2021-07-09,407.7,428.355,407.32,422.82,421.5962,1666530,0.0
41,2021-07-02,412.07,413.7,398.22,410.0,408.8133,1003598,0.0
42,2021-06-25,397.5,419.95,392.13,412.21,411.0169,2729103,0.0
43,2021-06-18,392.94,405.99,388.33,396.87,395.7213,1767667,0.0
44,2021-06-11,395.74,399.58,382.88,393.54,392.401,985526,0.0
45,2021-06-04,402.14,402.4934,384.89,395.23,394.0861,811392,0.0
46,2021-05-28,401.65,409.2,396.14,402.19,401.0259,1022957,0.0
47,2021-05-21,391.91,405.32,387.46,401.52,400.3579,960318,0.0
48,2021-05-14,412.96,413.535,384.78,393.0,391.8625,1198691,0.34
