,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,598.52,603.68,564.6,576.8,576.8,4167603,0.0
1,2022-04-08,591.27,618.355,573.03,608.86,608.86,7109907,0.0
2,2022-04-01,576.99,601.13,575.01,592.34,592.34,5905631,0.0
3,2022-03-25,581.81,594.6786,567.06,574.29,574.29,6366594,0.0
4,2022-03-18,535.68,590.57,530.67,589.09,589.09,7683964,0.3
5,2022-03-11,542.0,544.9,519.89,529.81,529.5215,7868150,0.0
6,2022-03-04,545.12,568.96,537.05,547.32,547.022,7699836,0.0
7,2022-02-25,536.33,550.07,513.94,549.83,549.5306,6488029,0.0
8,2022-02-18,564.52,571.23,534.55,537.14,536.8475,8122172,0.0
9,2022-02-11,597.9,599.75,564.57,566.29,565.9816,7379594,0.0
10,2022-02-04,574.0,608.71,572.17,594.42,594.0963,9340216,0.0
11,2022-01-28,570.85,576.97,543.7,572.03,571.7185,9862940,0.0
12,2022-01-21,586.14,602.59,578.28,580.33,580.014,7306087,0.0
13,2022-01-14,599.84,631.89,588.19,594.8,594.4761,10429260,0.0
14,2022-01-07,662.99,664.27,606.1902,607.07,606.7394,9831305,0.0
15,2021-12-31,656.91,672.34,652.82,667.24,666.8767,3314321,0.0
16,2021-12-23,650.45,656.36,635.69,650.7,650.3457,3960903,0.0
17,2021-12-17,642.5,664.17,624.38,651.07,650.7155,8200686,0.26
18,2021-12-10,635.0,644.7844,609.21,642.51,641.8961,7191475,0.0
19,2021-12-03,640.0,654.65,618.33,636.11,635.5022,9115985,0.0
20,2021-11-26,640.0,666.65,622.305,638.74,638.1297,5302364,0.0
21,2021-11-19,636.59,651.57,630.38,636.05,635.4423,5757698,0.0
22,2021-11-12,621.49,639.71,615.01,635.25,634.643,4778989,0.0
23,2021-11-05,632.35,643.52,599.45,616.8,616.2107,8081446,0.0
24,2021-10-29,612.0,634.1,602.5,633.07,632.4651,6596316,0.0
25,2021-10-22,583.56,612.06,580.995,611.96,611.3753,5059750,0.0
26,2021-10-15,581.2,586.74,569.96,582.39,581.8336,4631762,0.0
27,2021-10-08,571.55,589.56,562.615,583.92,583.3621,5720911,0.0
28,2021-10-01,603.51,605.515,552.01,572.72,572.1728,7668560,0.0
29,2021-09-24,592.69,616.93,585.0,609.78,609.1974,8215546,0.0
30,2021-09-17,573.35,609.3,549.179,596.8,596.2298,9737739,0.26
31,2021-09-10,568.0,575.63,558.45,571.96,571.1495,4364248,0.0
32,2021-09-03,549.0,571.675,548.03,568.11,567.3049,5186175,0.0
33,2021-08-27,557.7,560.695,544.16,548.51,547.7327,4726666,0.0
34,2021-08-20,546.41,557.99,542.38,555.0,554.2135,4654849,0.0
35,2021-08-13,543.83,546.6,534.03,544.64,543.8682,3871812,0.0
36,2021-08-06,542.08,544.36,531.88,538.2,537.4373,4483145,0.0
