,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,145.41,148.945,141.56,143.58,143.58,3971988,0.0
1,2022-04-08,153.0,157.77,144.36,146.15,146.15,8122424,0.0
2,2022-04-01,148.0,155.96,147.57,152.86,152.86,6377805,0.0
3,2022-03-25,146.78,150.655,144.35,148.92,148.92,5698656,0.0
4,2022-03-18,136.63,147.995,135.551,146.75,146.75,12611133,1.2
5,2022-03-11,139.02,140.595,133.07,136.33,135.1457,8240632,0.0
6,2022-03-04,142.535,145.11,137.76,138.75,137.5447,8087488,0.0
7,2022-02-25,142.74,145.69,134.13,145.26,143.9981,7768933,0.0
8,2022-02-18,144.31,148.7,141.53,143.47,142.2237,9359767,0.0
9,2022-02-11,149.49,156.0,143.44,144.25,142.9969,13287404,0.0
10,2022-02-04,149.81,157.4,147.03,148.7,147.4083,11219309,0.0
11,2022-01-28,155.24,162.81,143.64,149.81,148.5086,13134974,0.0
12,2022-01-21,173.29,173.785,159.47,159.68,158.2929,7210503,0.0
13,2022-01-14,190.29,193.82,173.27,174.97,173.4501,8530985,0.0
14,2022-01-07,197.24,198.87,187.16,191.58,189.9158,5490786,0.0
15,2021-12-31,196.11,200.9,195.96,196.64,194.9318,2938999,0.0
16,2021-12-23,190.17,196.45,186.8,195.29,193.5935,3328185,0.0
17,2021-12-17,196.0,196.85,187.58,193.36,191.6803,7897144,1.08
18,2021-12-10,197.82,204.68,193.8901,196.17,193.3876,5588297,0.0
19,2021-12-03,205.88,208.3,193.15,195.6,192.8257,6529774,0.0
20,2021-11-26,211.3,212.895,199.45,202.64,199.7658,3785935,0.0
21,2021-11-19,217.29,218.42,206.94,210.54,207.5538,3353975,0.0
22,2021-11-12,222.48,222.725,211.87,216.98,213.9024,3761130,0.0
23,2021-11-05,218.21,223.36,210.51,221.07,217.9344,4600139,0.0
24,2021-10-29,206.17,221.46,202.0,216.88,213.8038,6159569,0.0
25,2021-10-22,197.685,207.5,197.685,206.79,203.857,4113836,0.0
26,2021-10-15,195.65,201.3561,188.03,199.76,196.9267,8710373,0.0
27,2021-10-08,197.13,198.21,190.43,195.36,192.5891,6006371,0.0
28,2021-10-01,210.96,212.43,194.65,198.54,195.724,6882441,0.0
29,2021-09-24,209.21,213.045,202.7,211.22,208.2241,5107351,0.0
30,2021-09-17,218.07,219.48,212.0,213.51,210.4816,4904062,1.08
31,2021-09-10,218.5,219.5678,213.45,216.6,212.45,2781496,0.0
