,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,543.6,547.61,528.6234,537.0,537.0,10161697,0.0
1,2022-04-08,512.21,548.97,504.5301,545.96,545.96,16372515,0.0
2,2022-04-01,514.32,521.89,506.6,512.59,512.59,15486467,0.0
3,2022-03-25,505.01,516.53,501.3348,513.03,513.03,13328934,0.0
4,2022-03-18,490.4,510.6799,485.275,506.12,506.12,16593079,0.0
5,2022-03-11,500.0,500.0,471.52,482.87,482.87,16538380,1.45
6,2022-03-04,465.85,499.66,465.6103,498.65,497.1571,17823704,0.0
7,2022-02-25,463.83,475.78,445.735,475.75,474.3257,12857861,0.0
8,2022-02-18,475.11,481.73,466.825,467.81,466.4094,13597854,0.0
9,2022-02-11,484.91,500.93,476.4404,478.13,476.6985,14409886,0.0
10,2022-02-04,465.0,500.1815,462.75,483.17,481.7234,17113328,0.0
11,2022-01-28,458.07,468.68,447.27,466.06,464.6647,19520505,0.0
12,2022-01-21,465.17,475.49,458.35,461.17,459.7893,15313703,0.0
13,2022-01-14,456.0,476.55,454.44,468.69,467.2868,19335235,0.0
14,2022-01-07,500.0,503.75,455.55,458.6,457.227,22912732,0.0
15,2021-12-31,498.68,509.23,496.64,502.14,500.6366,7367011,0.0
16,2021-12-23,482.0,498.15,475.26,495.38,493.8969,9075864,0.0
17,2021-12-17,477.02,496.96,474.0109,487.12,485.6616,19728894,0.0
18,2021-12-10,452.15,478.48,451.52,478.23,476.7982,16605020,0.0
19,2021-12-03,443.56,455.92,439.2186,449.32,447.9748,23618260,1.45
20,2021-11-26,442.82,450.98,436.0,439.91,437.1821,10185900,0.0
21,2021-11-19,458.0,458.35,439.5,440.0,437.2716,14125057,0.0
22,2021-11-12,456.85,466.0,454.31,458.99,456.1438,12569281,0.0
23,2021-11-05,461.82,465.76,447.04,455.81,452.9835,12644506,0.0
24,2021-10-29,450.0,461.39,446.44,460.47,457.6146,14348550,0.0
25,2021-10-22,428.0,449.29,423.4,449.16,446.3748,11815027,0.0
26,2021-10-15,408.0,433.5,398.11,428.07,425.4155,16953500,0.0
27,2021-10-08,391.62,409.12,384.76,408.46,405.9271,13979740,0.0
28,2021-10-01,407.83,412.15,383.12,392.43,389.9966,14707036,0.0
29,2021-09-24,416.92,419.2974,404.94,407.08,404.5557,13443644,0.0
30,2021-09-17,407.98,423.4,406.45,420.16,417.5546,15926211,0.0
31,2021-09-10,420.3,422.87,402.59,403.91,401.4054,11907311,1.45
32,2021-09-03,418.76,424.4,411.24,422.86,418.7346,12310532,0.0
33,2021-08-27,430.56,430.56,416.115,418.76,414.6746,8941738,0.0
34,2021-08-20,409.84,431.355,407.33,429.71,425.5178,13279546,0.0
35,2021-08-13,414.95,416.23,404.3,409.67,405.6733,7970410,0.0
36,2021-08-06,413.57,423.66,407.89,415.12,411.0701,11841454,0.0
37,2021-07-30,416.83,417.67,406.8,412.22,408.1984,10723511,0.0
38,2021-07-23,417.24,419.53,406.81,417.7,413.625,11696005,0.0
39,2021-07-16,411.02,422.53,407.2,419.7,415.6055,15462230,0.0
