,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,309.95,310.0,292.24,298.59,298.59,1005324,0.0
1,2022-04-08,308.7,317.05,296.37,312.12,312.12,2048259,0.0
2,2022-04-01,327.13,334.6425,304.01,308.58,308.58,2030494,0.0
3,2022-03-25,338.8,342.1,320.475,325.97,325.97,1592803,0.0
4,2022-03-18,316.01,338.88,310.11,338.14,338.14,2201709,0.0
5,2022-03-11,321.01,325.0,307.11,312.97,312.97,1777343,0.0
6,2022-03-04,320.37,323.89,311.51,323.01,323.01,1563675,0.0
7,2022-02-25,314.2,324.66,297.65,323.65,323.65,1432728,0.0
8,2022-02-18,321.905,328.09,312.195,316.18,316.18,1624343,0.0
9,2022-02-11,325.33,338.48,320.11,321.77,321.77,1687880,0.0
10,2022-02-04,317.1,337.28,316.27,325.91,325.91,2434855,0.0
11,2022-01-28,315.21,323.97,304.07,316.94,316.94,1801067,0.0
12,2022-01-21,327.14,332.68,315.22,319.23,319.23,1511922,0.0
13,2022-01-14,342.98,352.0,329.53,333.73,333.73,1970801,0.0
14,2022-01-07,372.24,372.24,342.31,347.03,347.03,2613059,0.0
15,2021-12-31,364.05,375.24,362.77,372.6,372.6,1227329,0.0
16,2021-12-23,347.76,364.95,338.135,361.71,361.71,1700224,0.0
17,2021-12-17,342.11,355.005,338.43,348.35,348.35,2922990,0.0
18,2021-12-10,331.89,349.86,330.01,340.96,340.96,1302073,0.0
19,2021-12-03,339.47,346.705,324.35,331.35,331.35,2307493,0.0
20,2021-11-26,350.0,355.13,335.81,338.43,338.43,1177337,0.0
21,2021-11-19,357.91,362.27,340.55,349.71,349.71,1503016,0.0
22,2021-11-12,345.67,358.5,342.06,356.84,356.84,1225411,0.0
23,2021-11-05,367.71,369.95,332.605,343.06,343.06,2394835,0.0
24,2021-10-29,363.88,370.8,356.05,367.55,367.55,1665640,0.0
25,2021-10-22,344.23,365.34,341.915,364.49,364.49,1635157,0.0
26,2021-10-15,341.95,349.02,333.91,344.71,344.71,1506505,0.0
27,2021-10-08,352.83,356.46,339.43,343.4,343.4,2200215,0.0
28,2021-10-01,391.29,391.815,350.55,355.7,355.7,2415612,0.0
29,2021-09-24,390.92,405.06,389.16,393.58,393.58,1797534,0.0
30,2021-09-17,423.05,423.05,394.37,396.58,396.58,2288562,0.0
31,2021-09-10,423.13,428.22,413.76,420.18,420.18,1081717,0.0
32,2021-09-03,407.63,424.69,407.63,423.4,423.4,1526926,0.0
33,2021-08-27,404.04,412.1,400.49,407.35,407.35,991394,0.0
34,2021-08-20,405.32,411.35,395.67,402.25,402.25,1184289,0.0
35,2021-08-13,396.49,405.33,391.59,405.27,405.27,951632,0.0
36,2021-08-06,390.88,399.35,373.21,395.47,395.47,2030707,0.0
37,2021-07-30,383.01,394.02,377.84,389.81,389.81,1678903,0.0
38,2021-07-23,369.02,384.8,361.95,384.7,384.7,1839322,0.0
39,2021-07-16,369.99,373.53,367.72,370.69,370.69,1528675,0.0
40,2021-07-09,360.0,369.46,356.56,369.4,369.4,1541763,0.0
41,2021-07-02,338.35,356.14,337.021,355.49,355.49,1721981,0.0
42,2021-06-25,344.01,349.07,336.54,337.78,337.78,3374452,0.0
43,2021-06-18,337.48,348.095,333.09,342.71,342.71,3586085,0.0
44,2021-06-11,319.9,336.66,317.94,336.58,336.58,1360571,0.0
45,2021-06-04,323.03,323.815,311.37,319.26,319.26,1308841,0.0
46,2021-05-28,314.52,326.85,313.48,322.25,322.25,2236777,0.0
47,2021-05-21,311.33,316.0175,301.59,312.22,312.22,1870874,0.0
48,2021-05-14,315.9,320.385,303.09,312.24,312.24,1990512,0.0
49,2021-05-07,302.26,315.75,296.401,314.65,314.65,2022283,0.0
50,2021-04-30,307.34,308.59,297.86,299.87,299.87,1449060,0.0
51,2021-04-23,300.83,308.0,295.7,306.5,306.5,1480798,0.0
52,2021-04-16,307.14,309.65,296.175,299.9,299.9,2047249,0.0
53,2021-04-09,288.33,307.25,286.34,307.14,307.14,2785714,0.0
54,2021-04-01,278.92,287.65,278.29,284.72,284.72,1451501,0.0
55,2021-03-26,268.73,281.52,264.88,281.22,281.22,1844325,0.0
56,2021-03-19,267.34,276.57,265.26,268.7,268.7,1764934,0.0
57,2021-03-12,266.88,277.59,263.97,268.83,268.83,1769793,0.0
58,2021-03-05,275.83,279.98,258.91,266.44,266.44,1669756,0.0
59,2021-02-26,280.6,283.0,272.13,273.88,273.88,1492446,0.0
60,2021-02-19,285.21,285.61,279.405,281.72,281.72,1201085,0.0
61,2021-02-12,284.49,289.47,280.86,283.95,283.95,1523872,0.0
62,2021-02-05,266.55,299.06,266.35,283.48,283.48,3089938,0.0
63,2021-01-29,274.23,276.76,262.67,264.67,264.67,1818201,0.0
64,2021-01-22,271.04,274.59,267.065,273.62,273.62,1284855,0.0
65,2021-01-15,261.51,269.4,261.18,268.33,268.33,1726507,0.0
66,2021-01-08,247.39,267.285,244.77,261.82,261.82,1902010,0.0
67,2020-12-31,249.54,249.85,243.03,247.42,247.42,883069,0.0
68,2020-12-24,247.86,249.17,242.77,247.09,247.09,908755,0.0
69,2020-12-18,242.81,252.67,240.591,250.38,250.38,2643577,0.0
70,2020-12-11,237.34,242.7,235.025,240.33,240.33,1297367,0.0
71,2020-12-04,227.28,238.0,225.82,237.74,237.74,2091336,0.0
72,2020-11-27,225.56,235.46,224.74,228.27,228.27,1474858,0.0
73,2020-11-20,232.99,234.76,222.525,225.4,225.4,2186614,0.0
74,2020-11-13,229.96,233.0,221.13,232.65,232.65,2529602,0.0
75,2020-11-06,225.12,228.4,212.85,222.48,222.48,2668697,0.0
76,2020-10-30,219.94,229.915,216.38,222.82,222.82,2947381,0.0
77,2020-10-23,211.31,223.565,208.81,221.95,221.95,1833972,0.0
78,2020-10-16,204.01,218.195,201.79,211.1,211.1,2307474,0.0
79,2020-10-09,197.96,203.2,195.81,202.8,202.8,1361718,0.0
80,2020-10-02,193.41,198.68,191.62,195.89,195.89,1597449,0.0
81,2020-09-25,193.08,195.75,187.31,191.06,191.06,1487176,0.0
82,2020-09-18,206.01,209.145,195.29,195.47,195.47,2544335,0.0
83,2020-09-11,203.05,208.225,201.47,203.93,203.93,1733753,0.0
84,2020-09-04,217.82,218.48,203.63,206.07,206.07,2054809,0.0
85,2020-08-28,217.73,219.89,213.95,217.43,217.43,2252816,0.0
86,2020-08-21,216.91,219.42,212.14,216.24,216.24,2409394,0.0
87,2020-08-14,212.65,217.48,211.885,215.4,215.4,1854893,0.0
88,2020-08-07,214.18,216.39,208.4,212.34,212.34,2046890,0.0
89,2020-07-31,223.07,229.84,210.72,213.15,213.15,3206178,0.0
90,2020-07-24,226.32,229.5,220.36,223.05,223.05,2885817,0.0
91,2020-07-17,191.1,239.74,191.0,226.89,226.89,4763600,0.0
92,2020-07-10,182.89,190.11,182.46,188.75,188.75,2670900,0.0
93,2020-07-02,176.69,183.81,173.81,180.82,180.82,2358400,0.0
94,2020-06-26,190.06,190.06,171.38,174.76,174.76,6241100,0.0
95,2020-06-19,182.07,203.8,180.72,190.37,190.37,4409580,0.0
96,2020-06-12,208.47,210.895,181.22,185.56,185.56,2803422,0.0
