,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-14,67.63,68.2629,66.315,66.48,66.48,24515961,0.0
1,2022-04-08,69.72,71.57,67.41,68.08,68.08,22418348,0.0
2,2022-04-01,69.1,70.81,68.4,69.29,69.29,23317943,0.0
3,2022-03-25,67.78,69.39,66.74,69.18,69.18,23734972,0.1727
4,2022-03-18,64.36,68.31,63.49,68.23,68.0557,33566540,0.0
5,2022-03-11,66.39,66.39,63.685,64.37,64.2055,35423066,0.0
6,2022-03-04,67.7,68.87,66.19,66.49,66.3201,35175754,0.0
7,2022-02-25,67.06,68.625,64.03,68.53,68.3549,33537293,0.0
8,2022-02-18,69.23,70.33,67.21,67.41,67.2377,29220991,0.0
9,2022-02-11,71.35,72.105,69.06,69.31,69.1329,31173480,0.0
10,2022-02-04,72.3,76.57,69.98,71.17,70.9881,33704209,0.0
11,2022-01-28,71.1,72.84,69.48,72.31,72.1252,56767128,0.0
12,2022-01-21,76.5,76.83,72.19,72.22,72.0355,34216151,0.0
13,2022-01-14,75.71,77.44,74.23,76.56,76.3644,34884272,0.0
14,2022-01-07,77.86,78.73,75.89,76.44,76.2447,65563607,0.0
15,2021-12-31,78.35,79.545,77.655,77.68,77.4815,19829820,0.0
16,2021-12-23,75.56,78.37,75.08,78.11,77.9104,15335728,0.1567
17,2021-12-17,76.61,77.69,74.9134,76.48,76.1272,35982265,0.0
18,2021-12-10,75.12,77.495,74.83,76.7,76.3462,30094024,0.0
19,2021-12-03,78.05,78.2,73.59,74.7,74.3554,42901000,0.0
20,2021-11-26,79.8,80.0,77.11,77.18,76.824,18805059,0.0
21,2021-11-19,81.46,81.91,79.57,79.69,79.3224,22226311,0.0
22,2021-11-12,82.11,82.11,79.91,81.23,80.8553,16451613,0.0
23,2021-11-05,80.58,82.35,79.76,81.7,81.3231,20356545,0.0
24,2021-10-29,80.14,81.17,79.35,80.3,79.9296,22064251,0.0
25,2021-10-22,80.22,82.16,79.98,80.38,80.0092,14182417,0.0
26,2021-10-15,80.64,80.95,78.74,80.32,79.9495,22989573,0.0
27,2021-10-08,80.9,82.145,79.081,80.98,80.6064,26361797,0.0
28,2021-10-01,82.01,82.68,80.1,81.46,81.0842,35989436,0.0
