,timestamp,open,high,low,close,adjusted close,volume,dividend amount
0,2022-04-13,107.91,115.825,105.16,114.89,114.89,11830193,0.0
1,2022-04-08,119.39,126.44,109.3876,110.9,110.9,20499584,0.0
2,2022-04-01,114.87,127.37,113.63,118.02,118.02,17730646,0.0
3,2022-03-25,115.01,122.24,112.45,113.93,113.93,21853079,0.0
4,2022-03-18,97.5,117.8399,94.51,116.28,116.28,35153799,0.0
5,2022-03-11,111.13,115.24,97.9,98.12,98.12,29734902,0.0
6,2022-03-04,126.79,136.0,108.43,108.94,108.94,43237524,0.0
7,2022-02-25,125.055,130.73,114.26,125.32,125.32,21290393,0.0
8,2022-02-18,142.42,147.74,124.71,126.96,126.96,19891318,0.0
9,2022-02-11,144.59,152.69,137.2801,141.24,141.24,14202557,0.0
10,2022-02-04,146.67,156.05,136.92,144.1,144.1,18154127,0.0
11,2022-01-28,141.68,153.24,134.7,143.81,143.81,25508764,0.0
12,2022-01-21,156.324,163.48,147.11,147.66,147.66,16958572,0.0
13,2022-01-14,169.32,179.9,156.88,159.72,159.72,17920460,0.0
14,2022-01-07,184.44,184.91,170.72,171.6,171.6,19309167,0.0
15,2021-12-31,189.54,192.91,179.785,183.91,183.91,15604746,0.0
16,2021-12-23,205.0,205.22,186.65,191.65,191.65,17993358,0.0
17,2021-12-17,181.86,201.69,174.66,199.74,199.74,25808378,0.0
18,2021-12-10,180.635,198.51,175.27,185.25,185.25,17438721,0.0
19,2021-12-03,216.43,221.405,177.12,183.92,183.92,36083852,0.0
20,2021-11-26,249.26,251.7,195.8,220.21,220.21,53337556,0.0
21,2021-11-19,255.0,268.88,249.33,251.3,251.3,14627073,0.0
22,2021-11-12,262.65,265.66,245.16,254.97,254.97,18060431,0.0
23,2021-11-05,273.2,291.31,259.77,264.7,264.7,14495047,0.0
24,2021-10-29,276.04,286.94,269.21,274.65,274.65,11540925,0.0
25,2021-10-22,265.67,286.66,265.5,277.58,277.58,11586366,0.0
26,2021-10-15,252.18,274.0,252.0,266.32,266.32,14417547,0.0
27,2021-10-08,264.24,264.5734,250.11,255.05,255.05,17559705,0.0
28,2021-10-01,269.49,275.24,255.25,267.51,267.51,26011161,0.0
29,2021-09-24,278.65,285.0,267.1906,272.36,272.36,17966936,0.0
30,2021-09-17,300.16,300.275,273.5,287.68,287.68,25700060,0.0
31,2021-09-10,298.295,306.2634,290.53,301.5,301.5,17636296,0.0
